Drug_name,absorption,solubility,toxicity
adefovir,High,Poorly soluble,Moderately toxic
adenosine,High,Water-soluble,Moderately toxic
adenovirus vaccine,Low,Poorly soluble,Highly toxic
afamelanotide,Low,Water-soluble,Mildly toxic
aflibercept,High,Sparingly soluble,Mildly toxic
agalsidase beta,Moderate,Water-soluble,Mildly toxic
albendazole,Low,Water-soluble,Mildly toxic
albumin human,Moderate,Poorly soluble,Mildly toxic
albuterol,Moderate,Poorly soluble,Moderately toxic
albuterol / ipratropium,Moderate,Water-soluble,Mildly toxic
alcaftadine,Low,Poorly soluble,Moderately toxic
alclometasone,Moderate,Sparingly soluble,Moderately toxic
aldesleukin,Low,Sparingly soluble,Moderately toxic
alemtuzumab,Moderate,Poorly soluble,Highly toxic
alendronate,High,Sparingly soluble,Highly toxic
alfuzosin,High,Poorly soluble,Moderately toxic
alirocumab,Low,Water-soluble,Highly toxic
alitretinoin,High,Water-soluble,Mildly toxic
allantoin / camphor / phenol,High,Sparingly soluble,Mildly toxic
allopurinol,Moderate,Poorly soluble,Moderately toxic
allopurinol / lesinurad,Low,Poorly soluble,Mildly toxic
almotriptan,Moderate,Sparingly soluble,Moderately toxic
aloe polysaccharides / iodoquinol,Moderate,Water-soluble,Moderately toxic
alpelisib,Moderate,Sparingly soluble,Mildly toxic
alpha 1-proteinase inhibitor,Moderate,Water-soluble,Highly toxic
alprazolam,Moderate,Poorly soluble,Mildly toxic
alprostadil,Moderate,Water-soluble,Mildly toxic
alteplase,Moderate,Sparingly soluble,Moderately toxic
aluminum chloride hexahydrate,Low,Poorly soluble,Moderately toxic
aluminum hydroxide,High,Sparingly soluble,Moderately toxic
aluminum hydroxide / magnesium hydroxide / simethicone,Moderate,Sparingly soluble,Moderately toxic
aluminum hydroxide / magnesium trisilicate,Moderate,Water-soluble,Highly toxic
alvimopan,Moderate,Sparingly soluble,Highly toxic
amantadine,Moderate,Water-soluble,Highly toxic
ambrisentan,Moderate,Poorly soluble,Moderately toxic
amifampridine,Moderate,Water-soluble,Moderately toxic
amifostine,High,Poorly soluble,Moderately toxic
amikacin,High,Water-soluble,Highly toxic
amiloride,Moderate,Sparingly soluble,Moderately toxic
aminocaproic acid,High,Water-soluble,Mildly toxic
aminolevulinic acid,Low,Water-soluble,Mildly toxic
aminosalicylic acid,Moderate,Poorly soluble,Moderately toxic
amiodarone,Low,Sparingly soluble,Mildly toxic
amitriptyline,Low,Water-soluble,Mildly toxic
amlodipine,Moderate,Sparingly soluble,Highly toxic
amlodipine / atorvastatin,High,Water-soluble,Moderately toxic
ammoniated mercury,Low,Water-soluble,Moderately toxic
ammonium chloride,Moderate,Sparingly soluble,Highly toxic
ammonium lactate,Low,Water-soluble,Mildly toxic
amoxicillin,Low,Sparingly soluble,Mildly toxic
amoxicillin / clarithromycin / lansoprazole,Low,Water-soluble,Moderately toxic
amoxicillin / clavulanate,Low,Poorly soluble,Mildly toxic
amphetamine,High,Sparingly soluble,Highly toxic
amphetamine / dextroamphetamine,Low,Water-soluble,Highly toxic
amphotericin b,Low,Water-soluble,Moderately toxic
amphotericin b lipid complex,Low,Poorly soluble,Highly toxic
amphotericin b liposomal,High,Sparingly soluble,Highly toxic
ampicillin,Low,Water-soluble,Moderately toxic
ampicillin / sulbactam,Low,Poorly soluble,Highly toxic
amyl nitrite,High,Water-soluble,Highly toxic
anagrelide,High,Sparingly soluble,Highly toxic
anakinra,High,Water-soluble,Mildly toxic
anastrozole,Low,Water-soluble,Moderately toxic
anidulafungin,High,Water-soluble,Moderately toxic
anthrax immune globulin intravenous,High,Water-soluble,Moderately toxic
anthrax vaccine adsorbed,Low,Poorly soluble,Mildly toxic
anti-inhibitor coagulant complex,High,Poorly soluble,Mildly toxic
antihemophilic factor,Low,Sparingly soluble,Moderately toxic
antithrombin (recombinant),Moderate,Poorly soluble,Mildly toxic
antithrombin iii,High,Poorly soluble,Moderately toxic
antivenin (crotalidae) polyvalent,Moderate,Sparingly soluble,Mildly toxic
antivenom (centruroides scorpion),Low,Poorly soluble,Highly toxic
apixaban,High,Poorly soluble,Highly toxic
apomorphine,Low,Sparingly soluble,Moderately toxic
apraclonidine,Moderate,Sparingly soluble,Mildly toxic
apremilast,Low,Sparingly soluble,Mildly toxic
aprepitant,High,Water-soluble,Highly toxic
argatroban,High,Water-soluble,Highly toxic
aripiprazole,Moderate,Sparingly soluble,Mildly toxic
armodafinil,Low,Sparingly soluble,Mildly toxic
arsenic trioxide,High,Sparingly soluble,Mildly toxic
artemether / lumefantrine,Moderate,Water-soluble,Mildly toxic
ascorbic acid,High,Water-soluble,Mildly toxic
asenapine,High,Poorly soluble,Mildly toxic
asfotase alfa,Low,Poorly soluble,Moderately toxic
asparaginase erwinia chrysanthemi,High,Sparingly soluble,Mildly toxic
asparaginase escherichia coli,Low,Water-soluble,Highly toxic
aspirin,High,Water-soluble,Moderately toxic
aspirin / butalbital / caffeine,Moderate,Water-soluble,Mildly toxic
aspirin / caffeine,High,Sparingly soluble,Highly toxic
aspirin / caffeine / orphenadrine,Low,Poorly soluble,Moderately toxic
aspirin / carisoprodol,Low,Sparingly soluble,Highly toxic
aspirin / carisoprodol / codeine,Moderate,Poorly soluble,Mildly toxic
aspirin / omeprazole,High,Poorly soluble,Mildly toxic
atazanavir,High,Sparingly soluble,Mildly toxic
atenolol,Moderate,Poorly soluble,Mildly toxic
atezolizumab,High,Poorly soluble,Moderately toxic
atomoxetine,High,Water-soluble,Moderately toxic
atorvastatin,Low,Poorly soluble,Highly toxic
atovaquone,High,Sparingly soluble,Mildly toxic
atovaquone / proguanil,High,Sparingly soluble,Highly toxic
atropine,Moderate,Poorly soluble,Moderately toxic
atropine / difenoxin,Moderate,Water-soluble,Mildly toxic
atropine / diphenoxylate,Low,Water-soluble,Mildly toxic
atropine / edrophonium,High,Poorly soluble,Moderately toxic
atropine / hyoscyamine / phenobarbital / scopolamine,High,Poorly soluble,Moderately toxic
atropine / pralidoxime,High,Sparingly soluble,Moderately toxic
auranofin,Low,Poorly soluble,Moderately toxic
avanafil,Low,Water-soluble,Moderately toxic
avapritinib,Moderate,Poorly soluble,Mildly toxic
avelumab,Low,Sparingly soluble,Moderately toxic
axitinib,High,Sparingly soluble,Mildly toxic
azacitidine,High,Sparingly soluble,Mildly toxic
azathioprine,Low,Sparingly soluble,Moderately toxic
azelaic acid,High,Sparingly soluble,Moderately toxic
azelastine,High,Poorly soluble,Mildly toxic
azficel-t,Low,Poorly soluble,Moderately toxic
azithromycin,Low,Poorly soluble,Moderately toxic
aztreonam,High,Poorly soluble,Moderately toxic
bacitracin,High,Sparingly soluble,Highly toxic
bacitracin / hydrocortisone / neomycin / polymyxin b,High,Water-soluble,Mildly toxic
bacitracin / neomycin / polymyxin b,Moderate,Poorly soluble,Highly toxic
bacitracin / neomycin / polymyxin b / pramoxine,Moderate,Water-soluble,Moderately toxic
bacitracin / polymyxin b,Moderate,Poorly soluble,Highly toxic
baclofen,Low,Poorly soluble,Moderately toxic
baloxavir marboxil,Moderate,Water-soluble,Highly toxic
balsalazide,Low,Sparingly soluble,Moderately toxic
balsam peru / castor oil,Low,Poorly soluble,Highly toxic
barium sulfate,Moderate,Poorly soluble,Highly toxic
basiliximab,Moderate,Poorly soluble,Highly toxic
bcg,Moderate,Water-soluble,Mildly toxic
becaplermin,High,Sparingly soluble,Highly toxic
beclomethasone,Moderate,Water-soluble,Mildly toxic
bedaquiline,High,Water-soluble,Moderately toxic
belatacept,Low,Sparingly soluble,Highly toxic
belimumab,High,Water-soluble,Moderately toxic
belinostat,Moderate,Sparingly soluble,Moderately toxic
belladonna,Low,Poorly soluble,Highly toxic
benazepril,Low,Sparingly soluble,Mildly toxic
bendamustine,Low,Poorly soluble,Highly toxic
benzalkonium chloride,High,Water-soluble,Moderately toxic
benzalkonium chloride / lidocaine,Moderate,Water-soluble,Moderately toxic
benzethonium chloride,Low,Poorly soluble,Highly toxic
benznidazole,Low,Water-soluble,Mildly toxic
benzocaine,Low,Sparingly soluble,Mildly toxic
benzocaine / butamben / tetracaine,High,Poorly soluble,Moderately toxic
benzocaine / menthol,High,Water-soluble,Moderately toxic
benzonatate,Moderate,Poorly soluble,Mildly toxic
benzoyl peroxide,High,Sparingly soluble,Highly toxic
benztropine,Low,Sparingly soluble,Moderately toxic
benzyl alcohol,Moderate,Water-soluble,Mildly toxic
benzylpenicilloyl-polylysine,Low,Sparingly soluble,Moderately toxic
bepotastine,Low,Poorly soluble,Highly toxic
beractant,High,Sparingly soluble,Mildly toxic
besifloxacin,Moderate,Poorly soluble,Moderately toxic
beta-carotene,High,Poorly soluble,Highly toxic
betaine,High,Sparingly soluble,Moderately toxic
betamethasone,Moderate,Water-soluble,Highly toxic
betamethasone / calcipotriene,Low,Sparingly soluble,Highly toxic
betamethasone / clotrimazole,Low,Poorly soluble,Mildly toxic
bethanechol,Moderate,Poorly soluble,Highly toxic
bevacizumab,Low,Sparingly soluble,Moderately toxic
bexarotene,Moderate,Water-soluble,Highly toxic
bezlotoxumab,Moderate,Water-soluble,Highly toxic
bicalutamide,High,Poorly soluble,Mildly toxic
bifidobacterium infantis / lactobacillus acidophilus,Moderate,Poorly soluble,Highly toxic
bimatoprost,High,Water-soluble,Highly toxic
bioflavonoids,Low,Sparingly soluble,Moderately toxic
bisacodyl,Low,Poorly soluble,Mildly toxic
bismuth subsalicylate,Low,Poorly soluble,Mildly toxic
bisoprolol,Low,Water-soluble,Mildly toxic
bleomycin,High,Sparingly soluble,Highly toxic
blinatumomab,Low,Water-soluble,Mildly toxic
boric acid,Moderate,Sparingly soluble,Highly toxic
bortezomib,Moderate,Sparingly soluble,Highly toxic
bosentan,Moderate,Sparingly soluble,Moderately toxic
bosutinib,High,Poorly soluble,Moderately toxic
botulism antitoxin,Low,Water-soluble,Moderately toxic
bremelanotide,Low,Water-soluble,Moderately toxic
brentuximab,Low,Sparingly soluble,Moderately toxic
brexanolone,High,Poorly soluble,Highly toxic
brimonidine,Moderate,Poorly soluble,Highly toxic
brimonidine / brinzolamide,Moderate,Water-soluble,Mildly toxic
brimonidine / timolol,Low,Poorly soluble,Highly toxic
brinzolamide,Moderate,Poorly soluble,Highly toxic
brodalumab,Moderate,Sparingly soluble,Moderately toxic
brolucizumab,High,Poorly soluble,Highly toxic
bromocriptine,High,Sparingly soluble,Moderately toxic
brompheniramine / codeine,High,Water-soluble,Mildly toxic
brompheniramine / dextromethorphan / pseudoephedrine,High,Poorly soluble,Mildly toxic
brompheniramine / phenylephrine,Low,Water-soluble,Highly toxic
budesonide,High,Water-soluble,Mildly toxic
budesonide / formoterol,Moderate,Poorly soluble,Highly toxic
bumetanide,Low,Poorly soluble,Mildly toxic
bupivacaine,Moderate,Water-soluble,Moderately toxic
buprenorphine,Moderate,Poorly soluble,Moderately toxic
buprenorphine / naloxone,Moderate,Sparingly soluble,Moderately toxic
bupropion,High,Sparingly soluble,Moderately toxic
bupropion / naltrexone,High,Poorly soluble,Highly toxic
buspirone,Low,Water-soluble,Mildly toxic
busulfan,Low,Poorly soluble,Highly toxic
butorphanol,High,Poorly soluble,Moderately toxic
cabergoline,Moderate,Water-soluble,Highly toxic
cabozantinib,Low,Water-soluble,Mildly toxic
cadexomer iodine,High,Sparingly soluble,Highly toxic
caffeine,High,Water-soluble,Mildly toxic
caffeine / ergotamine,High,Sparingly soluble,Highly toxic
calamine,Moderate,Water-soluble,Mildly toxic
calcifediol,High,Poorly soluble,Mildly toxic
calcipotriene,High,Sparingly soluble,Moderately toxic
calcitonin,High,Sparingly soluble,Mildly toxic
calcitriol,High,Sparingly soluble,Moderately toxic
calcium / folic acid / ginger / pyridoxine,Low,Poorly soluble,Moderately toxic
calcium / vitamin d,Low,Poorly soluble,Moderately toxic
calcium acetate,High,Poorly soluble,Highly toxic
calcium carbonate,Moderate,Poorly soluble,Highly toxic
calcium chloride,Low,Poorly soluble,Highly toxic
calcium citrate,High,Sparingly soluble,Highly toxic
calcium gluconate,Low,Poorly soluble,Mildly toxic
calcium lactate,Low,Sparingly soluble,Mildly toxic
"calcium phosphate, tribasic",Moderate,Poorly soluble,Highly toxic
calfactant,High,Water-soluble,Mildly toxic
camphor / menthol,High,Sparingly soluble,Mildly toxic
canagliflozin,Moderate,Water-soluble,Moderately toxic
canakinumab,Moderate,Sparingly soluble,Moderately toxic
candesartan,High,Water-soluble,Moderately toxic
cangrelor,High,Poorly soluble,Moderately toxic
cannabidiol,Moderate,Poorly soluble,Mildly toxic
cantharidin,Low,Poorly soluble,Highly toxic
capecitabine,Low,Sparingly soluble,Mildly toxic
caplacizumab,Moderate,Water-soluble,Mildly toxic
capsaicin,Low,Poorly soluble,Mildly toxic
captopril,Moderate,Water-soluble,Moderately toxic
carbachol,Low,Water-soluble,Moderately toxic
carbamazepine,Low,Poorly soluble,Moderately toxic
carbamide peroxide,High,Poorly soluble,Highly toxic
carbidopa,High,Water-soluble,Mildly toxic
carbidopa / levodopa,Low,Poorly soluble,Highly toxic
carbinoxamine,Low,Poorly soluble,Moderately toxic
carboplatin,High,Poorly soluble,Highly toxic
carboprost,High,Sparingly soluble,Mildly toxic
carfilzomib,High,Water-soluble,Mildly toxic
carglumic acid,Moderate,Water-soluble,Moderately toxic
carisoprodol,Low,Sparingly soluble,Moderately toxic
carmustine,High,Water-soluble,Highly toxic
carvedilol,Low,Poorly soluble,Moderately toxic
caspofungin,Moderate,Water-soluble,Moderately toxic
cefaclor,Moderate,Poorly soluble,Mildly toxic
cefadroxil,High,Sparingly soluble,Moderately toxic
cefazolin,Moderate,Poorly soluble,Moderately toxic
cefdinir,Low,Water-soluble,Mildly toxic
cefepime,High,Water-soluble,Mildly toxic
cefixime,Low,Water-soluble,Highly toxic
cefotaxime,Low,Sparingly soluble,Moderately toxic
cefotetan,Moderate,Sparingly soluble,Mildly toxic
cefoxitin,Moderate,Water-soluble,Highly toxic
cefpodoxime,Moderate,Poorly soluble,Highly toxic
ceftazidime,Moderate,Sparingly soluble,Moderately toxic
ceftriaxone,Moderate,Water-soluble,Moderately toxic
cefuroxime,High,Water-soluble,Highly toxic
celecoxib,Low,Sparingly soluble,Mildly toxic
cemiplimab,Low,Sparingly soluble,Highly toxic
cenegermin,Low,Sparingly soluble,Moderately toxic
cephalexin,Low,Poorly soluble,Mildly toxic
cerliponase alfa,Moderate,Poorly soluble,Mildly toxic
certolizumab,Low,Water-soluble,Highly toxic
cetirizine,High,Sparingly soluble,Moderately toxic
cetrorelix,High,Poorly soluble,Highly toxic
cetuximab,Low,Sparingly soluble,Highly toxic
cevimeline,Low,Water-soluble,Highly toxic
chlophedianol / dexbrompheniramine,High,Poorly soluble,Mildly toxic
chlorambucil,High,Poorly soluble,Mildly toxic
chloramphenicol,Moderate,Poorly soluble,Moderately toxic
chlordiazepoxide,High,Water-soluble,Moderately toxic
chlordiazepoxide / clidinium,Moderate,Sparingly soluble,Highly toxic
chlorhexidine,Moderate,Poorly soluble,Highly toxic
chloroquine,Moderate,Water-soluble,Highly toxic
chlorpheniramine,Moderate,Sparingly soluble,Moderately toxic
chlorpheniramine / hydrocodone,Moderate,Water-soluble,Mildly toxic
chlorpheniramine / hydrocodone / pseudoephedrine,Low,Sparingly soluble,Mildly toxic
chlorpheniramine / ibuprofen / phenylephrine,High,Water-soluble,Highly toxic
chlorpheniramine / methscopolamine / phenylephrine,Moderate,Sparingly soluble,Highly toxic
chlorpromazine,High,Poorly soluble,Highly toxic
chlorthalidone,High,Sparingly soluble,Highly toxic
chlorzoxazone,Moderate,Water-soluble,Moderately toxic
cholecalciferol,Low,Water-soluble,Mildly toxic
"cholera vaccine, live",Moderate,Sparingly soluble,Highly toxic
cholestyramine,Low,Poorly soluble,Moderately toxic
cholic acid,High,Poorly soluble,Highly toxic
choline c-11,Low,Sparingly soluble,Highly toxic
chondroitin / glucosamine,Low,Sparingly soluble,Mildly toxic
chorionic gonadotropin (hcg),Low,Water-soluble,Highly toxic
chromic chloride hexahydrate,High,Poorly soluble,Mildly toxic
chromium picolinate,High,Sparingly soluble,Mildly toxic
ciclesonide,Low,Poorly soluble,Mildly toxic
ciclopirox,Low,Sparingly soluble,Moderately toxic
cidofovir,Moderate,Sparingly soluble,Moderately toxic
cilastatin / imipenem,Low,Poorly soluble,Mildly toxic
cilostazol,Moderate,Sparingly soluble,Highly toxic
cimetidine,Low,Sparingly soluble,Mildly toxic
cinacalcet,Moderate,Water-soluble,Highly toxic
ciprofloxacin,High,Sparingly soluble,Mildly toxic
ciprofloxacin / dexamethasone,Low,Sparingly soluble,Highly toxic
ciprofloxacin / hydrocortisone,Low,Sparingly soluble,Moderately toxic
cisatracurium,Low,Water-soluble,Highly toxic
cisplatin,Low,Poorly soluble,Mildly toxic
citalopram,Moderate,Water-soluble,Moderately toxic
citric acid / magnesium oxide / sodium picosulfate,Low,Water-soluble,Highly toxic
citric acid / potassium citrate,High,Poorly soluble,Highly toxic
citric acid / potassium citrate / sodium citrate,High,Water-soluble,Highly toxic
citric acid / sodium citrate,Low,Poorly soluble,Highly toxic
cladribine,High,Water-soluble,Highly toxic
clarithromycin,Low,Poorly soluble,Moderately toxic
clidinium,Low,Sparingly soluble,Moderately toxic
clindamycin,High,Water-soluble,Moderately toxic
clioquinol,Low,Water-soluble,Moderately toxic
clobazam,High,Water-soluble,Mildly toxic
clobetasol,Moderate,Water-soluble,Moderately toxic
clofazimine,Low,Sparingly soluble,Highly toxic
clomiphene,Moderate,Water-soluble,Highly toxic
clomipramine,High,Sparingly soluble,Moderately toxic
clonazepam,Moderate,Sparingly soluble,Highly toxic
clonidine,Moderate,Sparingly soluble,Moderately toxic
clopidogrel,High,Sparingly soluble,Highly toxic
clorazepate,Moderate,Poorly soluble,Mildly toxic
clotrimazole,Moderate,Poorly soluble,Mildly toxic
clozapine,High,Water-soluble,Moderately toxic
coagulation factor Xa,Moderate,Poorly soluble,Moderately toxic
coagulation factor ix,High,Poorly soluble,Moderately toxic
coagulation factor viia,Moderate,Water-soluble,Highly toxic
coagulation factor x,High,Water-soluble,Moderately toxic
cobimetinib,High,Water-soluble,Mildly toxic
codeine,Moderate,Poorly soluble,Highly toxic
codeine / guaifenesin,Moderate,Poorly soluble,Moderately toxic
codeine / phenylephrine / promethazine,Moderate,Water-soluble,Highly toxic
codeine / promethazine,Low,Sparingly soluble,Highly toxic
colchicine,Low,Water-soluble,Moderately toxic
colesevelam,Low,Sparingly soluble,Highly toxic
colestipol,High,Sparingly soluble,Mildly toxic
colistimethate,Moderate,Water-soluble,Mildly toxic
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,High,Water-soluble,Highly toxic
collagenase,Low,Water-soluble,Moderately toxic
collagenase clostridium histolyticum,Moderate,Poorly soluble,Highly toxic
conestat alfa,High,Sparingly soluble,Mildly toxic
conivaptan,Moderate,Poorly soluble,Highly toxic
conjugated estrogens,High,Poorly soluble,Highly toxic
conjugated estrogens / medroxyprogesterone,Moderate,Water-soluble,Mildly toxic
corticorelin,Low,Poorly soluble,Highly toxic
corticotropin,Low,Water-soluble,Highly toxic
cortisone,Moderate,Sparingly soluble,Moderately toxic
cosyntropin,High,Water-soluble,Moderately toxic
crizanlizumab,Low,Poorly soluble,Mildly toxic
crizotinib,Low,Poorly soluble,Mildly toxic
cromolyn,Low,Water-soluble,Mildly toxic
cyanocobalamin,Moderate,Water-soluble,Moderately toxic
cyclobenzaprine,Moderate,Poorly soluble,Mildly toxic
cyclopentolate,High,Sparingly soluble,Mildly toxic
cyclophosphamide,High,Sparingly soluble,Mildly toxic
cycloserine,High,Water-soluble,Moderately toxic
cyclosporine,Moderate,Sparingly soluble,Highly toxic
cyproheptadine,Moderate,Poorly soluble,Mildly toxic
cysteamine,High,Water-soluble,Highly toxic
cytarabine,High,Poorly soluble,Mildly toxic
cytarabine liposomal / daunorubicin liposomal,Moderate,Poorly soluble,Highly toxic
cytomegalovirus immune globulin,High,Sparingly soluble,Moderately toxic
dabigatran,Low,Water-soluble,Moderately toxic
dabrafenib,Moderate,Water-soluble,Mildly toxic
dacarbazine,High,Sparingly soluble,Highly toxic
dactinomycin,Moderate,Poorly soluble,Moderately toxic
dalfampridine,Low,Poorly soluble,Mildly toxic
dalfopristin / quinupristin,Moderate,Poorly soluble,Mildly toxic
dalteparin,Moderate,Poorly soluble,Moderately toxic
danazol,Moderate,Water-soluble,Moderately toxic
dantrolene,Moderate,Water-soluble,Mildly toxic
dapsone,Low,Sparingly soluble,Highly toxic
daptomycin,Moderate,Sparingly soluble,Highly toxic
daratumumab,Moderate,Water-soluble,Highly toxic
darifenacin,High,Water-soluble,Mildly toxic
dasabuvir / ombitasvir / paritaprevir / ritonavir,Moderate,Poorly soluble,Moderately toxic
dasatinib,High,Poorly soluble,Mildly toxic
daunorubicin,Low,Sparingly soluble,Moderately toxic
decitabine,Low,Water-soluble,Highly toxic
deferasirox,Low,Sparingly soluble,Highly toxic
deferiprone,Low,Water-soluble,Moderately toxic
deferoxamine,High,Poorly soluble,Moderately toxic
defibrotide,Moderate,Sparingly soluble,Mildly toxic
deflazacort,Low,Sparingly soluble,Highly toxic
degarelix,Moderate,Water-soluble,Mildly toxic
dehydroepiandrosterone,High,Poorly soluble,Mildly toxic
demeclocycline,High,Sparingly soluble,Mildly toxic
denosumab,High,Poorly soluble,Highly toxic
deoxycholic acid,Low,Sparingly soluble,Mildly toxic
desipramine,Moderate,Poorly soluble,Mildly toxic
desirudin,Moderate,Water-soluble,Mildly toxic
desmopressin,Moderate,Sparingly soluble,Mildly toxic
desogestrel / ethinyl estradiol,High,Sparingly soluble,Mildly toxic
desonide,Low,Poorly soluble,Mildly toxic
desoximetasone,High,Poorly soluble,Highly toxic
desvenlafaxine,High,Sparingly soluble,Mildly toxic
dexamethasone,Moderate,Water-soluble,Moderately toxic
dexamethasone / neomycin / polymyxin b,High,Poorly soluble,Mildly toxic
dexamethasone / tobramycin,Moderate,Poorly soluble,Mildly toxic
dexbrompheniramine,Low,Poorly soluble,Highly toxic
dexbrompheniramine / phenylephrine,Moderate,Sparingly soluble,Highly toxic
dexbrompheniramine / pseudoephedrine,Low,Sparingly soluble,Moderately toxic
dexlansoprazole,Moderate,Sparingly soluble,Moderately toxic
dexmedetomidine,High,Sparingly soluble,Highly toxic
dexmethylphenidate,High,Water-soluble,Highly toxic
dexrazoxane,Low,Water-soluble,Mildly toxic
"dextran, high molecular weight",Low,Sparingly soluble,Highly toxic
dextranomer / sodium hyaluronate,Low,Water-soluble,Moderately toxic
dextroamphetamine,Moderate,Poorly soluble,Mildly toxic
dextromethorphan,Moderate,Poorly soluble,Moderately toxic
dextromethorphan / guaifenesin,Low,Poorly soluble,Mildly toxic
dextromethorphan / guaifenesin / phenylephrine,High,Sparingly soluble,Highly toxic
dextromethorphan / promethazine,Moderate,Poorly soluble,Moderately toxic
dextromethorphan / pyrilamine,Moderate,Water-soluble,Mildly toxic
dextromethorphan / quinidine,Moderate,Sparingly soluble,Mildly toxic
diazepam,Low,Water-soluble,Highly toxic
diazoxide,Low,Poorly soluble,Highly toxic
dibucaine,Low,Poorly soluble,Highly toxic
dichlorphenamide,Low,Poorly soluble,Moderately toxic
diclofenac,Low,Sparingly soluble,Mildly toxic
dicloxacillin,High,Water-soluble,Highly toxic
dicyclomine,High,Sparingly soluble,Moderately toxic
dienogest / estradiol,Low,Sparingly soluble,Moderately toxic
diethylpropion,Moderate,Poorly soluble,Moderately toxic
diflorasone,Low,Sparingly soluble,Highly toxic
difluprednate,High,Sparingly soluble,Highly toxic
digoxin,High,Poorly soluble,Mildly toxic
dihydroergotamine,Moderate,Sparingly soluble,Mildly toxic
diltiazem,High,Poorly soluble,Highly toxic
dimenhydrinate,Low,Poorly soluble,Moderately toxic
dimercaprol,Moderate,Poorly soluble,Moderately toxic
dimethyl fumarate,Low,Poorly soluble,Moderately toxic
dimethyl sulfoxide,Low,Sparingly soluble,Mildly toxic
dinoprostone,Moderate,Poorly soluble,Moderately toxic
diphenhydramine,Low,Poorly soluble,Mildly toxic
"diphtheria and tetanus toxoids / pertussis, acellular",High,Sparingly soluble,Mildly toxic
"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",Low,Sparingly soluble,Moderately toxic
"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Water-soluble,Moderately toxic
"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Sparingly soluble,Highly toxic
"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Sparingly soluble,Highly toxic
"diphtheria toxoid / pertussis, acellular / tetanus toxoid",Low,Water-soluble,Moderately toxic
diphtheria toxoid / tetanus toxoid,Moderate,Sparingly soluble,Mildly toxic
dipyridamole,Moderate,Sparingly soluble,Mildly toxic
disopyramide,Low,Sparingly soluble,Mildly toxic
disulfiram,High,Sparingly soluble,Mildly toxic
divalproex sodium,Low,Water-soluble,Mildly toxic
