Drug,Age_Group,Base_Dose,Multiplier
zonisamide,OldAge,304,0.75
topiramate,Infant,205,0.3
topiramate,Adult,205,1.0
topiramate,OldAge,205,0.75
valproic acid,Infant,427,0.3
valproic acid,Adult,427,1.0
valproic acid,OldAge,427,0.75
primidone,Infant,96,0.3
primidone,Adult,96,1.0
primidone,OldAge,96,0.75
aspirin,Infant,193,0.3
aspirin,Adult,193,1.0
aspirin,OldAge,193,0.75
nitroglycerin,Infant,242,0.3
nitroglycerin,Adult,242,1.0
nitroglycerin,OldAge,242,0.75
metoprolol,Infant,330,0.3
metoprolol,Adult,330,1.0
metoprolol,OldAge,330,0.75
amlodipine,Infant,242,0.3
amlodipine,Adult,242,1.0
amlodipine,OldAge,242,0.75
isosorbide mononitrate,Infant,382,0.3
isosorbide mononitrate,Adult,382,1.0
isosorbide mononitrate,OldAge,382,0.75
isosorbide dinitrate,Infant,360,0.3
isosorbide dinitrate,Adult,360,1.0
isosorbide dinitrate,OldAge,360,0.75
enoxaparin,Infant,292,0.3
enoxaparin,Adult,292,1.0
enoxaparin,OldAge,292,0.75
ranolazine,Infant,80,0.3
ranolazine,Adult,80,1.0
ranolazine,OldAge,80,0.75
atenolol,Infant,408,0.3
atenolol,Adult,408,1.0
atenolol,OldAge,408,0.75
carvedilol,Infant,182,0.3
carvedilol,Adult,182,1.0
carvedilol,OldAge,182,0.75
amlodipine / atorvastatin,Infant,137,0.3
amlodipine / atorvastatin,Adult,137,1.0
amlodipine / atorvastatin,OldAge,137,0.75
dextranomer / sodium hyaluronate,Infant,216,0.3
dextranomer / sodium hyaluronate,Adult,216,1.0
dextranomer / sodium hyaluronate,OldAge,216,0.75
acetylcysteine,Infant,88,0.3
acetylcysteine,Adult,88,1.0
acetylcysteine,OldAge,88,0.75
meloxicam,Infant,383,0.3
meloxicam,Adult,383,1.0
meloxicam,OldAge,383,0.75
naproxen,Infant,300,0.3
naproxen,Adult,300,1.0
naproxen,OldAge,300,0.75
indomethacin,Infant,73,0.3
indomethacin,Adult,73,1.0
indomethacin,OldAge,73,0.75
trolamine salicylate,Infant,223,0.3
trolamine salicylate,Adult,223,1.0
trolamine salicylate,OldAge,223,0.75
sulindac,Infant,209,0.3
sulindac,Adult,209,1.0
sulindac,OldAge,209,0.75
omeprazole,Infant,219,0.3
omeprazole,Adult,219,1.0
omeprazole,OldAge,219,0.75
pantoprazole,Infant,86,0.3
pantoprazole,Adult,86,1.0
pantoprazole,OldAge,86,0.75
ranitidine,Infant,425,0.3
ranitidine,Adult,425,1.0
ranitidine,OldAge,425,0.75
famotidine,Infant,361,0.3
famotidine,Adult,361,1.0
famotidine,OldAge,361,0.75
lansoprazole,Infant,454,0.3
lansoprazole,Adult,454,1.0
lansoprazole,OldAge,454,0.75
esomeprazole,Infant,208,0.3
esomeprazole,Adult,208,1.0
esomeprazole,OldAge,208,0.75
rabeprazole,Infant,498,0.3
rabeprazole,Adult,498,1.0
rabeprazole,OldAge,498,0.75
sucralfate,Infant,340,0.3
sucralfate,Adult,340,1.0
sucralfate,OldAge,340,0.75
dexlansoprazole,Infant,152,0.3
dexlansoprazole,Adult,152,1.0
dexlansoprazole,OldAge,152,0.75
omeprazole / sodium bicarbonate,Infant,199,0.3
omeprazole / sodium bicarbonate,Adult,199,1.0
omeprazole / sodium bicarbonate,OldAge,199,0.75
ibuprofen,Infant,304,0.3
ibuprofen,Adult,304,1.0
ibuprofen,OldAge,304,0.75
acetaminophen,Infant,57,0.3
acetaminophen,Adult,57,1.0
acetaminophen,OldAge,57,0.75
diclofenac,Infant,60,0.3
diclofenac,Adult,60,1.0
diclofenac,OldAge,60,0.75
nabumetone,Infant,235,0.3
nabumetone,Adult,235,1.0
nabumetone,OldAge,235,0.75
doxycycline,Infant,408,0.3
doxycycline,Adult,408,1.0
doxycycline,OldAge,408,0.75
spironolactone,Infant,475,0.3
spironolactone,Adult,475,1.0
spironolactone,OldAge,475,0.75
minocycline,Infant,171,0.3
minocycline,Adult,171,1.0
minocycline,OldAge,171,0.75
clindamycin,Infant,200,0.3
clindamycin,Adult,200,1.0
clindamycin,OldAge,200,0.75
tretinoin,Infant,199,0.3
tretinoin,Adult,199,1.0
tretinoin,OldAge,199,0.75
isotretinoin,Infant,251,0.3
isotretinoin,Adult,251,1.0
isotretinoin,OldAge,251,0.75
benzoyl peroxide,Infant,422,0.3
benzoyl peroxide,Adult,422,1.0
benzoyl peroxide,OldAge,422,0.75
adapalene,Infant,145,0.3
adapalene,Adult,145,1.0
adapalene,OldAge,145,0.75
tetracycline,Infant,433,0.3
tetracycline,Adult,433,1.0
tetracycline,OldAge,433,0.75
cephalexin,Infant,352,0.3
cephalexin,Adult,352,1.0
cephalexin,OldAge,352,0.75
sulfamethoxazole / trimethoprim,Infant,213,0.3
sulfamethoxazole / trimethoprim,Adult,213,1.0
sulfamethoxazole / trimethoprim,OldAge,213,0.75
metronidazole,Infant,290,0.3
metronidazole,Adult,290,1.0
metronidazole,OldAge,290,0.75
azelaic acid,Infant,271,0.3
azelaic acid,Adult,271,1.0
azelaic acid,OldAge,271,0.75
sulfacetamide sodium / sulfur,Infant,182,0.3
sulfacetamide sodium / sulfur,Adult,182,1.0
sulfacetamide sodium / sulfur,OldAge,182,0.75
ivermectin,Infant,378,0.3
ivermectin,Adult,378,1.0
ivermectin,OldAge,378,0.75
brimonidine,Infant,145,0.3
brimonidine,Adult,145,1.0
brimonidine,OldAge,145,0.75
lamivudine,Infant,493,0.3
lamivudine,Adult,493,1.0
lamivudine,OldAge,493,0.75
efavirenz / emtricitabine / tenofovir,Infant,184,0.3
efavirenz / emtricitabine / tenofovir,Adult,184,1.0
efavirenz / emtricitabine / tenofovir,OldAge,184,0.75
ritonavir,Infant,66,0.3
ritonavir,Adult,66,1.0
ritonavir,OldAge,66,0.75
emtricitabine / tenofovir,Infant,218,0.3
emtricitabine / tenofovir,Adult,218,1.0
emtricitabine / tenofovir,OldAge,218,0.75
tenofovir,Infant,435,0.3
tenofovir,Adult,435,1.0
tenofovir,OldAge,435,0.75
abacavir,Infant,218,0.3
abacavir,Adult,218,1.0
abacavir,OldAge,218,0.75
methylene blue,Infant,318,0.3
methylene blue,Adult,318,1.0
methylene blue,OldAge,318,0.75
bromocriptine,Infant,289,0.3
bromocriptine,Adult,289,1.0
bromocriptine,OldAge,289,0.75
octreotide,Infant,417,0.3
octreotide,Adult,417,1.0
octreotide,OldAge,417,0.75
pegvisomant,Infant,52,0.3
pegvisomant,Adult,52,1.0
pegvisomant,OldAge,52,0.75
lanreotide,Infant,240,0.3
lanreotide,Adult,240,1.0
lanreotide,OldAge,240,0.75
pasireotide,Infant,346,0.3
pasireotide,Adult,346,1.0
pasireotide,OldAge,346,0.75
gabapentin,Infant,378,0.3
gabapentin,Adult,378,1.0
gabapentin,OldAge,378,0.75
fluorouracil,Infant,267,0.3
fluorouracil,Adult,267,1.0
fluorouracil,OldAge,267,0.75
aminolevulinic acid,Infant,235,0.3
aminolevulinic acid,Adult,235,1.0
aminolevulinic acid,OldAge,235,0.75
ingenol,Infant,308,0.3
ingenol,Adult,308,1.0
ingenol,OldAge,308,0.75
amoxicillin,Infant,75,0.3
amoxicillin,Adult,75,1.0
amoxicillin,OldAge,75,0.75
penicillin g sodium,Infant,215,0.3
penicillin g sodium,Adult,215,1.0
penicillin g sodium,OldAge,215,0.75
penicillin g potassium,Infant,77,0.3
penicillin g potassium,Adult,77,1.0
penicillin g potassium,OldAge,77,0.75
albuterol,Infant,418,0.3
albuterol,Adult,418,1.0
albuterol,OldAge,418,0.75
prednisolone,Infant,465,0.3
prednisolone,Adult,465,1.0
prednisolone,OldAge,465,0.75
methylprednisolone,Infant,112,0.3
methylprednisolone,Adult,112,1.0
methylprednisolone,OldAge,112,0.75
epinephrine,Infant,468,0.3
epinephrine,Adult,468,1.0
epinephrine,OldAge,468,0.75
hydrocortisone,Infant,84,0.3
hydrocortisone,Adult,84,1.0
hydrocortisone,OldAge,84,0.75
theophylline,Infant,149,0.3
theophylline,Adult,149,1.0
theophylline,OldAge,149,0.75
dexamethasone,Infant,311,0.3
dexamethasone,Adult,311,1.0
dexamethasone,OldAge,311,0.75
levalbuterol,Infant,272,0.3
levalbuterol,Adult,272,1.0
levalbuterol,OldAge,272,0.75
terbutaline,Infant,322,0.3
terbutaline,Adult,322,1.0
terbutaline,OldAge,322,0.75
ciprofloxacin,Infant,403,0.3
ciprofloxacin,Adult,403,1.0
ciprofloxacin,OldAge,403,0.75
nitrofurantoin,Infant,362,0.3
nitrofurantoin,Adult,362,1.0
nitrofurantoin,OldAge,362,0.75
levofloxacin,Infant,322,0.3
levofloxacin,Adult,322,1.0
levofloxacin,OldAge,322,0.75
ceftriaxone,Infant,311,0.3
ceftriaxone,Adult,311,1.0
ceftriaxone,OldAge,311,0.75
amoxicillin / clavulanate,Infant,190,0.3
amoxicillin / clavulanate,Adult,190,1.0
amoxicillin / clavulanate,OldAge,190,0.75
cefuroxime,Infant,287,0.3
cefuroxime,Adult,287,1.0
cefuroxime,OldAge,287,0.75
trimethoprim,Infant,91,0.3
trimethoprim,Adult,91,1.0
trimethoprim,OldAge,91,0.75
methenamine,Infant,338,0.3
methenamine,Adult,338,1.0
methenamine,OldAge,338,0.75
ampicillin,Infant,419,0.3
ampicillin,Adult,419,1.0
ampicillin,OldAge,419,0.75
prednisone,Infant,387,0.3
prednisone,Adult,387,1.0
prednisone,OldAge,387,0.75
vincristine,Infant,171,0.3
vincristine,Adult,171,1.0
vincristine,OldAge,171,0.75
cyclophosphamide,Infant,351,0.3
cyclophosphamide,Adult,351,1.0
cyclophosphamide,OldAge,351,0.75
asparaginase escherichia coli,Infant,112,0.3
asparaginase escherichia coli,Adult,112,1.0
asparaginase escherichia coli,OldAge,112,0.75
daunorubicin,Infant,172,0.3
daunorubicin,Adult,172,1.0
daunorubicin,OldAge,172,0.75
asparaginase erwinia chrysanthemi,Infant,302,0.3
asparaginase erwinia chrysanthemi,Adult,302,1.0
asparaginase erwinia chrysanthemi,OldAge,302,0.75
teniposide,Infant,385,0.3
teniposide,Adult,385,1.0
teniposide,OldAge,385,0.75
clopidogrel,Infant,71,0.3
clopidogrel,Adult,71,1.0
clopidogrel,OldAge,71,0.75
ticagrelor,Infant,475,0.3
ticagrelor,Adult,475,1.0
ticagrelor,OldAge,475,0.75
prasugrel,Infant,172,0.3
prasugrel,Adult,172,1.0
prasugrel,OldAge,172,0.75
eptifibatide,Infant,396,0.3
eptifibatide,Adult,396,1.0
eptifibatide,OldAge,396,0.75
tirofiban,Infant,269,0.3
tirofiban,Adult,269,1.0
tirofiban,OldAge,269,0.75
azathioprine,Infant,72,0.3
azathioprine,Adult,72,1.0
azathioprine,OldAge,72,0.75
penicillin g benzathine,Infant,180,0.3
penicillin g benzathine,Adult,180,1.0
penicillin g benzathine,OldAge,180,0.75
cytarabine,Infant,124,0.3
cytarabine,Adult,124,1.0
cytarabine,OldAge,124,0.75
idarubicin,Infant,90,0.3
idarubicin,Adult,90,1.0
idarubicin,OldAge,90,0.75
decitabine,Infant,444,0.3
decitabine,Adult,444,1.0
decitabine,OldAge,444,0.75
gemtuzumab,Infant,50,0.3
gemtuzumab,Adult,50,1.0
gemtuzumab,OldAge,50,0.75
midostaurin,Infant,462,0.3
midostaurin,Adult,462,1.0
midostaurin,OldAge,462,0.75
venetoclax,Infant,201,0.3
venetoclax,Adult,201,1.0
venetoclax,OldAge,201,0.75
enasidenib,Infant,228,0.3
enasidenib,Adult,228,1.0
enasidenib,OldAge,228,0.75
cytarabine liposomal / daunorubicin liposomal,Infant,137,0.3
cytarabine liposomal / daunorubicin liposomal,Adult,137,1.0
cytarabine liposomal / daunorubicin liposomal,OldAge,137,0.75
ivosidenib,Infant,115,0.3
ivosidenib,Adult,115,1.0
ivosidenib,OldAge,115,0.75
gilteritinib,Infant,126,0.3
gilteritinib,Adult,126,1.0
gilteritinib,OldAge,126,0.75
glasdegib,Infant,356,0.3
glasdegib,Adult,356,1.0
glasdegib,OldAge,356,0.75
chlorpromazine,Infant,271,0.3
chlorpromazine,Adult,271,1.0
chlorpromazine,OldAge,271,0.75
hemin,Infant,345,0.3
hemin,Adult,345,1.0
hemin,OldAge,345,0.75
givosiran,Infant,382,0.3
givosiran,Adult,382,1.0
givosiran,OldAge,382,0.75
mercaptopurine,Infant,124,0.3
mercaptopurine,Adult,124,1.0
mercaptopurine,OldAge,124,0.75
dasatinib,Infant,410,0.3
dasatinib,Adult,410,1.0
dasatinib,OldAge,410,0.75
pegaspargase,Infant,93,0.3
pegaspargase,Adult,93,1.0
pegaspargase,OldAge,93,0.75
doxorubicin,Infant,114,0.3
doxorubicin,Adult,114,1.0
doxorubicin,OldAge,114,0.75
imatinib,Infant,85,0.3
imatinib,Adult,85,1.0
imatinib,OldAge,85,0.75
ponatinib,Infant,86,0.3
ponatinib,Adult,86,1.0
ponatinib,OldAge,86,0.75
vincristine liposome,Infant,91,0.3
vincristine liposome,Adult,91,1.0
vincristine liposome,OldAge,91,0.75
blinatumomab,Infant,456,0.3
blinatumomab,Adult,456,1.0
blinatumomab,OldAge,456,0.75
thioguanine,Infant,248,0.3
thioguanine,Adult,248,1.0
thioguanine,OldAge,248,0.75
mitoxantrone,Infant,333,0.3
mitoxantrone,Adult,333,1.0
mitoxantrone,OldAge,333,0.75
ofloxacin,Infant,100,0.3
ofloxacin,Adult,100,1.0
ofloxacin,OldAge,100,0.75
ciprofloxacin / hydrocortisone,Infant,211,0.3
ciprofloxacin / hydrocortisone,Adult,211,1.0
ciprofloxacin / hydrocortisone,OldAge,211,0.75
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Infant,481,0.3
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Adult,481,1.0
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,OldAge,481,0.75
arsenic trioxide,Infant,496,0.3
arsenic trioxide,Adult,496,1.0
arsenic trioxide,OldAge,496,0.75
beractant,Infant,196,0.3
beractant,Adult,196,1.0
beractant,OldAge,196,0.75
poractant,Infant,485,0.3
poractant,Adult,485,1.0
poractant,OldAge,485,0.75
calfactant,Infant,366,0.3
calfactant,Adult,366,1.0
calfactant,OldAge,366,0.75
cefdinir,Infant,152,0.3
cefdinir,Adult,152,1.0
cefdinir,OldAge,152,0.75
azithromycin,Infant,228,0.3
azithromycin,Adult,228,1.0
azithromycin,OldAge,228,0.75
clarithromycin,Infant,351,0.3
clarithromycin,Adult,351,1.0
clarithromycin,OldAge,351,0.75
moxifloxacin,Infant,268,0.3
moxifloxacin,Adult,268,1.0
moxifloxacin,OldAge,268,0.75
sertraline,Infant,222,0.3
sertraline,Adult,222,1.0
sertraline,OldAge,222,0.75
citalopram,Infant,262,0.3
citalopram,Adult,262,1.0
citalopram,OldAge,262,0.75
fluoxetine,Infant,113,0.3
fluoxetine,Adult,113,1.0
fluoxetine,OldAge,113,0.75
amitriptyline,Infant,370,0.3
amitriptyline,Adult,370,1.0
amitriptyline,OldAge,370,0.75
venlafaxine,Infant,188,0.3
venlafaxine,Adult,188,1.0
venlafaxine,OldAge,188,0.75
paroxetine,Infant,385,0.3
paroxetine,Adult,385,1.0
paroxetine,OldAge,385,0.75
prazosin,Infant,484,0.3
prazosin,Adult,484,1.0
prazosin,OldAge,484,0.75
fluvoxamine,Infant,283,0.3
fluvoxamine,Adult,283,1.0
fluvoxamine,OldAge,283,0.75
pegademase bovine,Infant,309,0.3
pegademase bovine,Adult,309,1.0
pegademase bovine,OldAge,309,0.75
elapegademase,Infant,487,0.3
elapegademase,Adult,487,1.0
elapegademase,OldAge,487,0.75
ephedrine,Infant,221,0.3
ephedrine,Adult,221,1.0
ephedrine,OldAge,221,0.75
isoproterenol,Infant,399,0.3
isoproterenol,Adult,399,1.0
isoproterenol,OldAge,399,0.75
methylphenidate,Infant,310,0.3
methylphenidate,Adult,310,1.0
methylphenidate,OldAge,310,0.75
amphetamine / dextroamphetamine,Infant,392,0.3
amphetamine / dextroamphetamine,Adult,392,1.0
amphetamine / dextroamphetamine,OldAge,392,0.75
dextroamphetamine,Infant,376,0.3
dextroamphetamine,Adult,376,1.0
dextroamphetamine,OldAge,376,0.75
clonidine,Infant,82,0.3
clonidine,Adult,82,1.0
clonidine,OldAge,82,0.75
bupropion,Infant,484,0.3
bupropion,Adult,484,1.0
bupropion,OldAge,484,0.75
guanfacine,Infant,446,0.3
guanfacine,Adult,446,1.0
guanfacine,OldAge,446,0.75
lisdexamfetamine,Infant,487,0.3
lisdexamfetamine,Adult,487,1.0
lisdexamfetamine,OldAge,487,0.75
amphetamine,Infant,486,0.3
amphetamine,Adult,486,1.0
amphetamine,OldAge,486,0.75
atomoxetine,Infant,265,0.3
atomoxetine,Adult,265,1.0
atomoxetine,OldAge,265,0.75
fludrocortisone,Infant,394,0.3
fludrocortisone,Adult,394,1.0
fludrocortisone,OldAge,394,0.75
pazopanib,Infant,407,0.3
pazopanib,Adult,407,1.0
pazopanib,OldAge,407,0.75
sunitinib,Infant,300,0.3
sunitinib,Adult,300,1.0
sunitinib,OldAge,300,0.75
axitinib,Infant,58,0.3
axitinib,Adult,58,1.0
axitinib,OldAge,58,0.75
nivolumab,Infant,146,0.3
nivolumab,Adult,146,1.0
nivolumab,OldAge,146,0.75
sorafenib,Infant,57,0.3
sorafenib,Adult,57,1.0
sorafenib,OldAge,57,0.75
everolimus,Infant,487,0.3
everolimus,Adult,487,1.0
everolimus,OldAge,487,0.75
bevacizumab,Infant,376,0.3
bevacizumab,Adult,376,1.0
bevacizumab,OldAge,376,0.75
cabozantinib,Infant,390,0.3
cabozantinib,Adult,390,1.0
cabozantinib,OldAge,390,0.75
aldesleukin,Infant,341,0.3
aldesleukin,Adult,341,1.0
aldesleukin,OldAge,341,0.75
capecitabine,Infant,415,0.3
capecitabine,Adult,415,1.0
capecitabine,OldAge,415,0.75
temsirolimus,Infant,223,0.3
temsirolimus,Adult,223,1.0
temsirolimus,OldAge,223,0.75
lenvatinib,Infant,167,0.3
lenvatinib,Adult,167,1.0
lenvatinib,OldAge,167,0.75
adenovirus vaccine,Infant,327,0.3
adenovirus vaccine,Adult,327,1.0
adenovirus vaccine,OldAge,327,0.75
piroxicam,Infant,458,0.3
piroxicam,Adult,458,1.0
piroxicam,OldAge,458,0.75
triamcinolone,Infant,357,0.3
triamcinolone,Adult,357,1.0
triamcinolone,OldAge,357,0.75
fentanyl,Infant,411,0.3
fentanyl,Adult,411,1.0
fentanyl,OldAge,411,0.75
pregabalin,Infant,419,0.3
pregabalin,Adult,419,1.0
pregabalin,OldAge,419,0.75
probenecid,Infant,183,0.3
probenecid,Adult,183,1.0
probenecid,OldAge,183,0.75
enalapril,Infant,329,0.3
enalapril,Adult,329,1.0
enalapril,OldAge,329,0.75
lisinopril,Infant,169,0.3
lisinopril,Adult,169,1.0
lisinopril,OldAge,169,0.75
captopril,Infant,101,0.3
captopril,Adult,101,1.0
captopril,OldAge,101,0.75
mitotane,Infant,322,0.3
mitotane,Adult,322,1.0
mitotane,OldAge,322,0.75
cortisone,Infant,300,0.3
cortisone,Adult,300,1.0
cortisone,OldAge,300,0.75
cosyntropin,Infant,64,0.3
cosyntropin,Adult,64,1.0
cosyntropin,OldAge,64,0.75
somatropin,Infant,118,0.3
somatropin,Adult,118,1.0
somatropin,OldAge,118,0.75
anakinra,Infant,239,0.3
anakinra,Adult,239,1.0
anakinra,OldAge,239,0.75
tocilizumab,Infant,293,0.3
tocilizumab,Adult,293,1.0
tocilizumab,OldAge,293,0.75
etanercept,Infant,328,0.3
etanercept,Adult,328,1.0
etanercept,OldAge,328,0.75
digoxin,Infant,71,0.3
digoxin,Adult,71,1.0
digoxin,OldAge,71,0.75
diltiazem,Infant,386,0.3
diltiazem,Adult,386,1.0
diltiazem,OldAge,386,0.75
flecainide,Infant,415,0.3
flecainide,Adult,415,1.0
flecainide,OldAge,415,0.75
sotalol,Infant,358,0.3
sotalol,Adult,358,1.0
sotalol,OldAge,358,0.75
propafenone,Infant,110,0.3
propafenone,Adult,110,1.0
propafenone,OldAge,110,0.75
rivaroxaban,Infant,190,0.3
rivaroxaban,Adult,190,1.0
rivaroxaban,OldAge,190,0.75
dronedarone,Infant,161,0.3
dronedarone,Adult,161,1.0
dronedarone,OldAge,161,0.75
propranolol,Infant,64,0.3
propranolol,Adult,64,1.0
propranolol,OldAge,64,0.75
pentamidine,Infant,258,0.3
pentamidine,Adult,258,1.0
pentamidine,OldAge,258,0.75
benznidazole,Infant,323,0.3
benznidazole,Adult,323,1.0
benznidazole,OldAge,323,0.75
haloperidol,Infant,165,0.3
haloperidol,Adult,165,1.0
haloperidol,OldAge,165,0.75
aripiprazole,Infant,73,0.3
aripiprazole,Adult,73,1.0
aripiprazole,OldAge,73,0.75
olanzapine,Infant,256,0.3
olanzapine,Adult,256,1.0
olanzapine,OldAge,256,0.75
loxapine,Infant,139,0.3
loxapine,Adult,139,1.0
loxapine,OldAge,139,0.75
risperidone,Infant,262,0.3
risperidone,Adult,262,1.0
risperidone,OldAge,262,0.75
amitriptyline / perphenazine,Infant,276,0.3
amitriptyline / perphenazine,Adult,276,1.0
amitriptyline / perphenazine,OldAge,276,0.75
ruxolitinib,Infant,229,0.3
ruxolitinib,Adult,229,1.0
ruxolitinib,OldAge,229,0.75
fedratinib,Infant,111,0.3
fedratinib,Adult,111,1.0
fedratinib,OldAge,111,0.75
filgrastim,Infant,430,0.3
filgrastim,Adult,430,1.0
filgrastim,OldAge,430,0.75
dronabinol,Infant,213,0.3
dronabinol,Adult,213,1.0
dronabinol,OldAge,213,0.75
naltrexone,Infant,323,0.3
naltrexone,Adult,323,1.0
naltrexone,OldAge,323,0.75
acamprosate,Infant,327,0.3
acamprosate,Adult,327,1.0
acamprosate,OldAge,327,0.75
disulfiram,Infant,260,0.3
disulfiram,Adult,260,1.0
disulfiram,OldAge,260,0.75
ondansetron,Infant,342,0.3
ondansetron,Adult,342,1.0
ondansetron,OldAge,342,0.75
gabapentin enacarbil,Infant,178,0.3
gabapentin enacarbil,Adult,178,1.0
gabapentin enacarbil,OldAge,178,0.75
baclofen,Infant,466,0.3
baclofen,Adult,466,1.0
baclofen,OldAge,466,0.75
chlordiazepoxide,Infant,93,0.3
chlordiazepoxide,Adult,93,1.0
chlordiazepoxide,OldAge,93,0.75
oxazepam,Infant,119,0.3
oxazepam,Adult,119,1.0
oxazepam,OldAge,119,0.75
clorazepate,Infant,333,0.3
clorazepate,Adult,333,1.0
clorazepate,OldAge,333,0.75
propylthiouracil,Infant,83,0.3
propylthiouracil,Adult,83,1.0
propylthiouracil,OldAge,83,0.75
oxandrolone,Infant,231,0.3
oxandrolone,Adult,231,1.0
oxandrolone,OldAge,231,0.75
hydroxyquinoline,Infant,401,0.3
hydroxyquinoline,Adult,401,1.0
hydroxyquinoline,OldAge,401,0.75
ammonium chloride,Infant,378,0.3
ammonium chloride,Adult,378,1.0
ammonium chloride,OldAge,378,0.75
salmeterol,Infant,235,0.3
salmeterol,Adult,235,1.0
salmeterol,OldAge,235,0.75
ketotifen,Infant,199,0.3
ketotifen,Adult,199,1.0
ketotifen,OldAge,199,0.75
azelastine,Infant,67,0.3
azelastine,Adult,67,1.0
azelastine,OldAge,67,0.75
cromolyn,Infant,154,0.3
cromolyn,Adult,154,1.0
cromolyn,OldAge,154,0.75
epinastine,Infant,388,0.3
epinastine,Adult,388,1.0
epinastine,OldAge,388,0.75
nedocromil,Infant,114,0.3
nedocromil,Adult,114,1.0
nedocromil,OldAge,114,0.75
bepotastine,Infant,409,0.3
bepotastine,Adult,409,1.0
bepotastine,OldAge,409,0.75
cetirizine,Infant,182,0.3
cetirizine,Adult,182,1.0
cetirizine,OldAge,182,0.75
alcaftadine,Infant,117,0.3
alcaftadine,Adult,117,1.0
alcaftadine,OldAge,117,0.75
carbinoxamine,Infant,111,0.3
carbinoxamine,Adult,111,1.0
carbinoxamine,OldAge,111,0.75
doxylamine,Infant,429,0.3
doxylamine,Adult,429,1.0
doxylamine,OldAge,429,0.75
clobetasol,Infant,123,0.3
clobetasol,Adult,123,1.0
clobetasol,OldAge,123,0.75
betamethasone,Infant,356,0.3
betamethasone,Adult,356,1.0
betamethasone,OldAge,356,0.75
fluocinonide,Infant,261,0.3
fluocinonide,Adult,261,1.0
fluocinonide,OldAge,261,0.75
tacrolimus,Infant,50,0.3
tacrolimus,Adult,50,1.0
tacrolimus,OldAge,50,0.75
mometasone,Infant,160,0.3
mometasone,Adult,160,1.0
mometasone,OldAge,160,0.75
desonide,Infant,232,0.3
desonide,Adult,232,1.0
desonide,OldAge,232,0.75
fluocinolone,Infant,184,0.3
fluocinolone,Adult,184,1.0
fluocinolone,OldAge,184,0.75
desoximetasone,Infant,192,0.3
desoximetasone,Adult,192,1.0
desoximetasone,OldAge,192,0.75
