,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
99,Acne,isotretinoin,Low,Sparingly soluble,Highly toxic,Electrolytes
100,Acne,benzoyl peroxide,Low,Poorly soluble,Mildly toxic,Electrolytes
101,Acne,adapalene,Low,Sparingly soluble,Non-toxic,Electrolytes
102,Acne,tetracycline,High,Poorly soluble,Non-toxic,Electrolytes
103,Acne,cephalexin,Low,Water-soluble,Mildly toxic,Electrolytes
104,Acne,sulfamethoxazole / trimethoprim,Moderate,Water-soluble,Highly toxic,Electrolytes
105,HIV Infection,lamivudine,High,Sparingly soluble,Non-toxic,Antibodies
106,HIV Infection,efavirenz / emtricitabine / tenofovir,Low,Poorly soluble,Mildly toxic,Antibodies
107,HIV Infection,ritonavir,High,Sparingly soluble,Mildly toxic,Antibodies
108,HIV Infection,emtricitabine / tenofovir,High,Poorly soluble,Mildly toxic,Antibodies
109,HIV Infection,tenofovir,Low,Lipid-soluble,Non-toxic,Antibodies
110,HIV Infection,abacavir,High,Poorly soluble,Non-toxic,Antibodies
111,HIV Infection,lamivudine,Moderate,Water-soluble,Non-toxic,Antibodies
112,HIV Infection,efavirenz / emtricitabine / tenofovir,Low,Water-soluble,Highly toxic,Antibodies
113,HIV Infection,ritonavir,High,Sparingly soluble,Mildly toxic,Antibodies
114,HIV Infection,emtricitabine / tenofovir,Moderate,Poorly soluble,Mildly toxic,Antibodies
115,HIV Infection,tenofovir,High,Lipid-soluble,Non-toxic,Antibodies
116,HIV Infection,abacavir,Moderate,Water-soluble,Mildly toxic,Antibodies
117,Methemoglobinemia,methylene blue,Low,Lipid-soluble,Non-toxic,Electrolytes
118,Acromegaly,bromocriptine,High,Sparingly soluble,Highly toxic,Electrolytes
119,Acromegaly,octreotide,Moderate,Sparingly soluble,Non-toxic,Electrolytes
120,Acromegaly,pegvisomant,Moderate,Lipid-soluble,Highly toxic,Electrolytes
121,Acromegaly,lanreotide,Low,Water-soluble,Non-toxic,Electrolytes
122,Acromegaly,pasireotide,High,Sparingly soluble,Mildly toxic,Electrolytes
123,Erythromelalgia,gabapentin,Moderate,Water-soluble,Mildly toxic,Electrolytes
124,Actinic Keratosis,fluorouracil,High,Water-soluble,Mildly toxic,Electrolytes
125,Actinic Keratosis,aminolevulinic acid,Moderate,Poorly soluble,Highly toxic,Electrolytes
126,Actinic Keratosis,ingenol,High,Water-soluble,Non-toxic,Electrolytes
127,Actinomycosis,amoxicillin,Moderate,Water-soluble,Highly toxic,Electrolytes
128,Actinomycosis,doxycycline,Low,Poorly soluble,Highly toxic,Electrolytes
129,Actinomycosis,minocycline,Moderate,Sparingly soluble,Non-toxic,Electrolytes
130,Actinomycosis,penicillin g sodium,Moderate,Lipid-soluble,Non-toxic,Electrolytes
131,Actinomycosis,penicillin g potassium,Moderate,Sparingly soluble,Non-toxic,Electrolytes
132,"Asthma, acute",albuterol,High,Sparingly soluble,Mildly toxic,Oxygen
133,"Asthma, acute",prednisolone,High,Lipid-soluble,Highly toxic,Oxygen
134,"Asthma, acute",methylprednisolone,High,Poorly soluble,Mildly toxic,Oxygen
135,"Asthma, acute",epinephrine,Moderate,Lipid-soluble,Non-toxic,Oxygen
136,"Asthma, acute",hydrocortisone,High,Poorly soluble,Non-toxic,Oxygen
137,"Asthma, acute",theophylline,Low,Poorly soluble,Highly toxic,Oxygen
138,"Asthma, acute",dexamethasone,Low,Sparingly soluble,Non-toxic,Oxygen
139,"Asthma, acute",levalbuterol,Moderate,Sparingly soluble,Highly toxic,Oxygen
140,"Asthma, acute",terbutaline,High,Sparingly soluble,Highly toxic,Oxygen
141,Urinary Tract Infection,ciprofloxacin,Moderate,Sparingly soluble,Non-toxic,Antibodies
142,Urinary Tract Infection,nitrofurantoin,Low,Lipid-soluble,Highly toxic,Antibodies
143,Urinary Tract Infection,sulfamethoxazole / trimethoprim,Moderate,Poorly soluble,Non-toxic,Antibodies
144,Urinary Tract Infection,amoxicillin,High,Lipid-soluble,Non-toxic,Antibodies
145,Urinary Tract Infection,doxycycline,Low,Poorly soluble,Non-toxic,Antibodies
146,Urinary Tract Infection,levofloxacin,Moderate,Poorly soluble,Highly toxic,Antibodies
147,Urinary Tract Infection,ceftriaxone,High,Lipid-soluble,Mildly toxic,Antibodies
148,Urinary Tract Infection,amoxicillin / clavulanate,Moderate,Sparingly soluble,Highly toxic,Antibodies
149,Urinary Tract Infection,cefuroxime,High,Sparingly soluble,Highly toxic,Antibodies
150,Urinary Tract Infection,trimethoprim,Low,Lipid-soluble,Mildly toxic,Antibodies
151,Urinary Tract Infection,methenamine,High,Sparingly soluble,Mildly toxic,Antibodies
152,Urinary Tract Infection,ampicillin,Moderate,Water-soluble,Highly toxic,Antibodies
153,Acute Lymphocytic Leukemia,prednisone,Moderate,Lipid-soluble,Highly toxic,Electrolytes
154,Acute Lymphocytic Leukemia,vincristine,Low,Lipid-soluble,Non-toxic,Electrolytes
155,Acute Lymphocytic Leukemia,cyclophosphamide,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
156,Acute Lymphocytic Leukemia,methotrexate,High,Poorly soluble,Highly toxic,Electrolytes
157,Acute Lymphocytic Leukemia,asparaginase escherichia coli,Low,Poorly soluble,Non-toxic,Electrolytes
158,Acute Lymphocytic Leukemia,daunorubicin,High,Sparingly soluble,Mildly toxic,Electrolytes
159,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi,Moderate,Lipid-soluble,Non-toxic,Electrolytes
160,Acute Lymphocytic Leukemia,teniposide,Low,Sparingly soluble,Highly toxic,Electrolytes
161,Acute Coronary Syndrome,clopidogrel,Low,Sparingly soluble,Mildly toxic,Electrolytes
162,Acute Coronary Syndrome,ticagrelor,High,Poorly soluble,Non-toxic,Electrolytes
163,Acute Coronary Syndrome,prasugrel,Moderate,Lipid-soluble,Highly toxic,Electrolytes
164,Acute Coronary Syndrome,enoxaparin,Low,Lipid-soluble,Non-toxic,Electrolytes
165,Acute Coronary Syndrome,eptifibatide,Moderate,Sparingly soluble,Highly toxic,Electrolytes
166,Acute Coronary Syndrome,tirofiban,Moderate,Poorly soluble,Highly toxic,Electrolytes
167,"Acute Coronary Syndrome, Prophylaxis",clopidogrel,Low,Sparingly soluble,Mildly toxic,Electrolytes
168,Glomerulonephritis,azathioprine,Low,Water-soluble,Non-toxic,Erythropoietin
169,Glomerulonephritis,penicillin g benzathine,High,Water-soluble,Highly toxic,Erythropoietin
170,Acute Myeloid Leukemia,cytarabine,Low,Sparingly soluble,Highly toxic,Electrolytes
171,Acute Myeloid Leukemia,vincristine,Moderate,Lipid-soluble,Highly toxic,Electrolytes
172,Acute Myeloid Leukemia,daunorubicin,Low,Lipid-soluble,Highly toxic,Electrolytes
173,Acute Myeloid Leukemia,idarubicin,High,Lipid-soluble,Highly toxic,Electrolytes
174,Acute Myeloid Leukemia,decitabine,Moderate,Water-soluble,Highly toxic,Electrolytes
175,Acute Myeloid Leukemia,gemtuzumab,High,Lipid-soluble,Highly toxic,Electrolytes
176,Acute Myeloid Leukemia,midostaurin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
177,Acute Myeloid Leukemia,venetoclax,Low,Lipid-soluble,Mildly toxic,Electrolytes
178,Acute Myeloid Leukemia,enasidenib,High,Lipid-soluble,Non-toxic,Electrolytes
179,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal,Moderate,Sparingly soluble,Non-toxic,Electrolytes
180,Acute Myeloid Leukemia,ivosidenib,Moderate,Poorly soluble,Highly toxic,Electrolytes
181,Acute Myeloid Leukemia,gilteritinib,Moderate,Water-soluble,Highly toxic,Electrolytes
182,Acute Myeloid Leukemia,glasdegib,High,Poorly soluble,Mildly toxic,Electrolytes
183,HIV Infection,lamivudine,Moderate,Water-soluble,Mildly toxic,Antibodies
184,HIV Infection,efavirenz / emtricitabine / tenofovir,Low,Lipid-soluble,Highly toxic,Antibodies
185,HIV Infection,ritonavir,Low,Poorly soluble,Non-toxic,Antibodies
186,HIV Infection,emtricitabine / tenofovir,High,Lipid-soluble,Non-toxic,Antibodies
187,HIV Infection,tenofovir,Low,Poorly soluble,Mildly toxic,Antibodies
188,HIV Infection,abacavir,High,Water-soluble,Non-toxic,Antibodies
189,Porphyria,chlorpromazine,Low,Water-soluble,Highly toxic,Electrolytes
190,Porphyria,hemin,High,Lipid-soluble,Mildly toxic,Electrolytes
191,Porphyria,givosiran,High,Poorly soluble,Non-toxic,Electrolytes
192,Acute Lymphoblastic Leukemia,methotrexate,High,Lipid-soluble,Non-toxic,Electrolytes
193,Acute Lymphoblastic Leukemia,mercaptopurine,Low,Poorly soluble,Highly toxic,Electrolytes
194,Acute Lymphoblastic Leukemia,dasatinib,Low,Poorly soluble,Non-toxic,Electrolytes
195,Acute Lymphoblastic Leukemia,pegaspargase,High,Water-soluble,Highly toxic,Electrolytes
196,Acute Lymphoblastic Leukemia,doxorubicin,High,Sparingly soluble,Highly toxic,Electrolytes
197,Acute Lymphoblastic Leukemia,imatinib,Low,Lipid-soluble,Highly toxic,Electrolytes
198,Acute Lymphoblastic Leukemia,asparaginase erwinia chrysanthemi,High,Poorly soluble,Highly toxic,Electrolytes
199,Acute Lymphoblastic Leukemia,ponatinib,High,Water-soluble,Highly toxic,Electrolytes
200,Acute Lymphoblastic Leukemia,vincristine liposome,Low,Poorly soluble,Highly toxic,Electrolytes
201,Acute Lymphoblastic Leukemia,blinatumomab,Low,Lipid-soluble,Highly toxic,Electrolytes
202,Acute Lymphocytic Leukemia,prednisone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
203,Acute Lymphocytic Leukemia,vincristine,Low,Sparingly soluble,Non-toxic,Electrolytes
204,Acute Lymphocytic Leukemia,cyclophosphamide,High,Poorly soluble,Non-toxic,Electrolytes
205,Acute Lymphocytic Leukemia,methotrexate,Moderate,Water-soluble,Mildly toxic,Electrolytes
206,Acute Lymphocytic Leukemia,asparaginase escherichia coli,Low,Lipid-soluble,Mildly toxic,Electrolytes
207,Acute Lymphocytic Leukemia,daunorubicin,High,Sparingly soluble,Mildly toxic,Electrolytes
208,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
209,Acute Lymphocytic Leukemia,teniposide,Moderate,Poorly soluble,Highly toxic,Electrolytes
210,Acute Myeloblastic Leukemia,doxorubicin,High,Sparingly soluble,Highly toxic,Electrolytes
211,Acute Myeloid Leukemia,cytarabine,Low,Water-soluble,Non-toxic,Electrolytes
212,Acute Myeloid Leukemia,vincristine,Moderate,Water-soluble,Non-toxic,Electrolytes
213,Acute Myeloid Leukemia,daunorubicin,Low,Sparingly soluble,Highly toxic,Electrolytes
214,Acute Myeloid Leukemia,idarubicin,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
215,Acute Myeloid Leukemia,decitabine,Moderate,Water-soluble,Non-toxic,Electrolytes
216,Acute Myeloid Leukemia,gemtuzumab,High,Water-soluble,Non-toxic,Electrolytes
217,Acute Myeloid Leukemia,midostaurin,Low,Sparingly soluble,Mildly toxic,Electrolytes
218,Acute Myeloid Leukemia,venetoclax,Moderate,Water-soluble,Non-toxic,Electrolytes
219,Acute Myeloid Leukemia,enasidenib,High,Poorly soluble,Mildly toxic,Electrolytes
220,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal,Moderate,Poorly soluble,Mildly toxic,Electrolytes
221,Acute Myeloid Leukemia,ivosidenib,Low,Sparingly soluble,Highly toxic,Electrolytes
222,Acute Myeloid Leukemia,gilteritinib,Low,Water-soluble,Mildly toxic,Electrolytes
223,Acute Myeloid Leukemia,glasdegib,High,Lipid-soluble,Non-toxic,Electrolytes
224,Acute Myeloid Leukemia,cytarabine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
225,Acute Myeloid Leukemia,vincristine,Low,Sparingly soluble,Non-toxic,Electrolytes
226,Acute Myeloid Leukemia,daunorubicin,Low,Water-soluble,Non-toxic,Electrolytes
227,Acute Myeloid Leukemia,idarubicin,High,Water-soluble,Mildly toxic,Electrolytes
228,Acute Myeloid Leukemia,decitabine,Low,Lipid-soluble,Mildly toxic,Electrolytes
229,Acute Myeloid Leukemia,gemtuzumab,Moderate,Water-soluble,Mildly toxic,Electrolytes
230,Acute Myeloid Leukemia,midostaurin,Low,Water-soluble,Mildly toxic,Electrolytes
231,Acute Myeloid Leukemia,venetoclax,Moderate,Sparingly soluble,Non-toxic,Electrolytes
232,Acute Myeloid Leukemia,enasidenib,Moderate,Poorly soluble,Mildly toxic,Electrolytes
233,Acute Myeloid Leukemia,cytarabine liposomal / daunorubicin liposomal,Low,Water-soluble,Non-toxic,Electrolytes
234,Acute Myeloid Leukemia,ivosidenib,Moderate,Poorly soluble,Highly toxic,Electrolytes
235,Acute Myeloid Leukemia,gilteritinib,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
236,Acute Myeloid Leukemia,glasdegib,High,Poorly soluble,Highly toxic,Electrolytes
237,Acute Nonlymphocytic Leukemia,isotretinoin,High,Lipid-soluble,Non-toxic,Electrolytes
238,Acute Nonlymphocytic Leukemia,methotrexate,High,Poorly soluble,Non-toxic,Electrolytes
239,Acute Nonlymphocytic Leukemia,thioguanine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
240,Acute Nonlymphocytic Leukemia,mitoxantrone,Low,Lipid-soluble,Non-toxic,Electrolytes
241,Acute Nonlymphocytic Leukemia,cyclophosphamide,High,Sparingly soluble,Non-toxic,Electrolytes
242,Acute Nonlymphocytic Leukemia,daunorubicin,High,Sparingly soluble,Non-toxic,Electrolytes
243,Acute Nonlymphocytic Leukemia,cytarabine,Moderate,Water-soluble,Mildly toxic,Electrolytes
244,Acute Otitis Externa,ofloxacin,High,Poorly soluble,Highly toxic,Electrolytes
245,Acute Otitis Externa,ciprofloxacin,Low,Water-soluble,Mildly toxic,Electrolytes
246,Acute Otitis Externa,ciprofloxacin / hydrocortisone,Low,Poorly soluble,Mildly toxic,Electrolytes
247,Acute Otitis Externa,dexamethasone,Moderate,Poorly soluble,Non-toxic,Electrolytes
248,Acute Otitis Externa,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,Low,Water-soluble,Non-toxic,Electrolytes
249,Acute Promyelocytic Leukemia,tretinoin,Moderate,Water-soluble,Mildly toxic,Electrolytes
250,Acute Promyelocytic Leukemia,arsenic trioxide,Moderate,Water-soluble,Highly toxic,Electrolytes
251,Respiratory Distress Syndrome,beractant,Moderate,Water-soluble,Highly toxic,Oxygen
252,Respiratory Distress Syndrome,poractant,Low,Sparingly soluble,Highly toxic,Oxygen
253,Respiratory Distress Syndrome,calfactant,Low,Lipid-soluble,Highly toxic,Oxygen
254,HIV Infection,lamivudine,High,Sparingly soluble,Highly toxic,Antibodies
255,HIV Infection,efavirenz / emtricitabine / tenofovir,Moderate,Poorly soluble,Highly toxic,Antibodies
256,HIV Infection,ritonavir,High,Lipid-soluble,Non-toxic,Antibodies
257,HIV Infection,emtricitabine / tenofovir,Moderate,Lipid-soluble,Non-toxic,Antibodies
258,HIV Infection,tenofovir,High,Poorly soluble,Non-toxic,Antibodies
259,HIV Infection,abacavir,High,Poorly soluble,Highly toxic,Antibodies
260,Sinusitis,amoxicillin,Moderate,Poorly soluble,Highly toxic,Electrolytes
261,Sinusitis,prednisone,High,Sparingly soluble,Mildly toxic,Electrolytes
262,Sinusitis,amoxicillin / clavulanate,Low,Water-soluble,Mildly toxic,Electrolytes
263,Sinusitis,cefdinir,Moderate,Lipid-soluble,Non-toxic,Electrolytes
264,Sinusitis,azithromycin,High,Lipid-soluble,Highly toxic,Electrolytes
265,Sinusitis,levofloxacin,Low,Sparingly soluble,Highly toxic,Electrolytes
266,Sinusitis,cefuroxime,Low,Poorly soluble,Highly toxic,Electrolytes
267,Sinusitis,clarithromycin,High,Poorly soluble,Non-toxic,Electrolytes
268,Sinusitis,ciprofloxacin,High,Poorly soluble,Highly toxic,Electrolytes
269,Sinusitis,clindamycin,Low,Water-soluble,Highly toxic,Electrolytes
270,Sinusitis,sulfamethoxazole / trimethoprim,High,Poorly soluble,Highly toxic,Electrolytes
271,Sinusitis,moxifloxacin,Low,Sparingly soluble,Non-toxic,Electrolytes
272,Anxiety and Stress,sertraline,Moderate,Water-soluble,Non-toxic,GABA
273,Anxiety and Stress,citalopram,Low,Water-soluble,Mildly toxic,GABA
274,Anxiety and Stress,fluoxetine,Moderate,Poorly soluble,Non-toxic,GABA
275,Anxiety and Stress,amitriptyline,Moderate,Lipid-soluble,Non-toxic,GABA
276,Anxiety and Stress,venlafaxine,Low,Poorly soluble,Highly toxic,GABA
277,Anxiety and Stress,paroxetine,Low,Water-soluble,Non-toxic,GABA
278,Anxiety and Stress,prazosin,High,Lipid-soluble,Highly toxic,GABA
279,Anxiety and Stress,fluvoxamine,High,Lipid-soluble,Non-toxic,GABA
280,Adenosine Deaminase Deficiency,pegademase bovine,Low,Sparingly soluble,Highly toxic,Electrolytes
281,Adenosine Deaminase Deficiency,elapegademase,Low,Lipid-soluble,Mildly toxic,Electrolytes
282,Adams-Stokes Syndrome,epinephrine,High,Poorly soluble,Non-toxic,Electrolytes
283,Adams-Stokes Syndrome,ephedrine,Low,Water-soluble,Highly toxic,Electrolytes
284,Adams-Stokes Syndrome,isoproterenol,High,Sparingly soluble,Mildly toxic,Electrolytes
285,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate,Low,Lipid-soluble,Non-toxic,Electrolytes
286,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine,High,Poorly soluble,Non-toxic,Electrolytes
287,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine,High,Sparingly soluble,Highly toxic,Electrolytes
288,ADHD (Attention Deficit Hyperactivity Disorder),clonidine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
289,ADHD (Attention Deficit Hyperactivity Disorder),bupropion,High,Poorly soluble,Non-toxic,Electrolytes
290,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine,Low,Poorly soluble,Mildly toxic,Electrolytes
291,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine,Moderate,Poorly soluble,Highly toxic,Electrolytes
292,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine,High,Water-soluble,Non-toxic,Electrolytes
293,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine,Low,Water-soluble,Highly toxic,Electrolytes
294,Addison's Disease,hydrocortisone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
295,Addison's Disease,fludrocortisone,High,Water-soluble,Mildly toxic,Electrolytes
296,Addison's Disease,dexamethasone,Moderate,Poorly soluble,Highly toxic,Electrolytes
297,Renal Cell Carcinoma,pazopanib,Low,Sparingly soluble,Mildly toxic,Erythropoietin
298,Renal Cell Carcinoma,sunitinib,High,Water-soluble,Non-toxic,Erythropoietin
299,Renal Cell Carcinoma,axitinib,Moderate,Water-soluble,Non-toxic,Erythropoietin
300,Renal Cell Carcinoma,nivolumab,Low,Water-soluble,Highly toxic,Erythropoietin
301,Renal Cell Carcinoma,sorafenib,High,Lipid-soluble,Mildly toxic,Erythropoietin
302,Renal Cell Carcinoma,everolimus,High,Lipid-soluble,Non-toxic,Erythropoietin
