Drug,Infant_mg,Adult_mg,OldAge_mg
edaravone,604,3170,2486
trabectedin,606,3180,2494
olaratumab,608,3190,2502
donepezil,610,3200,2510
memantine,612,3210,2518
galantamine,614,3220,2526
rivastigmine,616,3230,2534
vitamin e,618,3240,2542
donepezil / memantine,620,3250,2550
ergoloid mesylates,622,3260,2558
tinidazole,624,3270,2566
nitazoxanide,626,3280,2574
paromomycin,628,3290,2582
chloroquine,630,3300,2590
progesterone,632,3310,2598
tafamidis,634,3320,2606
inotersen,636,3330,2614
patisiran,638,3340,2622
colchicine,640,3350,2630
piperacillin / tazobactam,642,3360,2638
ampicillin / sulbactam,644,3370,2646
cefoxitin,646,3380,2654
cilastatin / imipenem,648,3390,2662
mitomycin,650,3400,2670
cisplatin,652,3410,2678
lidocaine,654,3420,2686
zinc oxide,656,3430,2694
benzocaine,658,3440,2702
temozolomide,660,3450,2710
procarbazine,662,3460,2718
lomustine,664,3470,2726
thyroid desiccated,666,3480,2734
sodium iodide-i-131,668,3490,2742
thyrotropin alpha,670,3500,2750
vandetanib,672,3510,2758
dabrafenib,674,3520,2766
trametinib,676,3530,2774
mebendazole,678,3540,2782
albendazole,680,3550,2790
pyrantel,682,3560,2798
finasteride,684,3570,2806
ketoconazole,686,3580,2814
epoetin alfa,688,3590,2822
multivitamin with iron,690,3600,2830
pyridoxine,692,3610,2838
oxymetholone,694,3620,2846
lenalidomide,696,3630,2854
ferrous sulfate,698,3640,2862
ferrous fumarate,700,3650,2870
darbepoetin alfa,702,3660,2878
ferrous gluconate,704,3670,2886
epoetin beta-methoxy polyethylene glycol,706,3680,2894
ferrous fumarate / folic acid,708,3690,2902
iron polysaccharide,710,3700,2910
ferumoxytol,712,3710,2918
iron sucrose,714,3720,2926
folic acid,716,3730,2934
leucovorin,718,3740,2942
glutamine,720,3750,2950
crizanlizumab,722,3760,2958
propofol,724,3770,2966
lidocaine / prilocaine,726,3780,2974
ketamine,728,3790,2982
succinylcholine,730,3800,2990
glycopyrrolate,732,3810,2998
rocuronium,734,3820,3006
etomidate,736,3830,3014
vecuronium,738,3840,3022
hyoscyamine,740,3850,3030
cisatracurium,742,3860,3038
hydromorphone,744,3870,3046
atracurium,746,3880,3054
butorphanol,748,3890,3062
methohexital,750,3900,3070
bisoprolol,752,3910,3078
nifedipine,754,3920,3086
interferon alfa-2b,756,3930,3094
iohexol,758,3940,3102
danazol,760,3950,3110
gadobenate dimeglumine,762,3960,3118
furosemide,764,3970,3126
hydrochlorothiazide,766,3980,3134
bumetanide,768,3990,3142
metolazone,770,4000,3150
torsemide,772,4010,3158
hydrochlorothiazide / triamterene,774,4020,3166
hydrochlorothiazide / spironolactone,776,4030,3174
triamterene,778,4040,3182
chlorthalidone,780,4050,3190
acetazolamide,782,4060,3198
celecoxib,784,4070,3206
adalimumab,786,4080,3214
infliximab,788,4090,3222
chloramphenicol,790,4100,3230
anthrax immune globulin intravenous,792,4110,3238
anthrax vaccine adsorbed,794,4120,3246
immune globulin intravenous,796,4130,3254
fomepizole,798,4140,3262
vancomycin,800,4150,3270
physostigmine,802,4160,3278
pralidoxime,804,4170,3286
atropine,806,4180,3294
heparin,808,4190,3302
buspirone,810,4200,3310
sildenafil,812,4210,3318
amantadine,814,4220,3326
warfarin,816,4230,3334
antithrombin iii,818,4240,3342
antithrombin (recombinant),820,4250,3350
clonazepam,822,4260,3358
alprazolam,824,4270,3366
lorazepam,826,4280,3374
escitalopram,828,4290,3382
trazodone,830,4300,3390
duloxetine,832,4310,3398
mirtazapine,834,4320,3406
quetiapine,836,4330,3414
dipyridamole,838,4340,3422
iodixanol,840,4350,3430
dexmethylphenidate,842,4360,3438
sargramostim,844,4370,3446
"lymphocyte immune globulin, anti-thy (equine)",846,4380,3454
eltrombopag,848,4390,3462
caffeine,850,4400,3470
carbamazepine,852,4410,3478
amiodarone,854,4420,3486
verapamil,856,4430,3494
dofetilide,858,4440,3502
mexiletine,860,4450,3510
disopyramide,862,4460,3518
quinidine,864,4470,3526
procainamide,866,4480,3534
dimercaprol,868,4490,3542
rosuvastatin,870,4500,3550
perindopril,872,4510,3558
isoxsuprine,874,4520,3566
hydroxychloroquine,876,4530,3574
leflunomide,878,4540,3582
acetaminophen / hydrocodone,880,4550,3590
chondroitin / glucosamine,882,4560,3598
etodolac,884,4570,3606
mycophenolate mofetil,886,4580,3614
amiloride,888,4590,3622
ethacrynic acid,890,4600,3630
alendronate,892,4610,3638
itraconazole,894,4620,3646
amphotericin b,896,4630,3654
amphotericin b lipid complex,898,4640,3662
voriconazole,900,4650,3670
posaconazole,902,4660,3678
caspofungin,904,4670,3686
amphotericin b liposomal,906,4680,3694
isavuconazonium,908,4690,3702
ipratropium,910,4700,3710
flunisolide,912,4710,3718
formoterol / mometasone,914,4720,3726
fluticasone / vilanterol,916,4730,3734
ciclesonide,918,4740,3742
fluticasone / salmeterol,920,4750,3750
budesonide,922,4760,3758
budesonide / formoterol,924,4770,3766
beclomethasone,926,4780,3774
calcium chloride,928,4790,3782
clotrimazole,930,4800,3790
terbinafine,932,4810,3798
econazole,934,4820,3806
betamethasone / clotrimazole,936,4830,3814
tolnaftate,938,4840,3822
ciclopirox,940,4850,3830
miconazole,942,4860,3838
griseofulvin,944,4870,3846
halobetasol,946,4880,3854
pimecrolimus,948,4890,3862
alclometasone,950,4900,3870
esmolol,952,4910,3878
ibutilide,954,4920,3886
adenosine,956,4930,3894
estradiol,958,4940,3902
conjugated estrogens,960,4950,3910
estradiol / norethindrone,962,4960,3918
ziprasidone,964,4970,3926
paliperidone,966,4980,3934
oseltamivir,968,4990,3942
"influenza virus vaccine, h5n1",970,5000,3950
tisagenlecleucel,972,5010,3958
cyanocobalamin,974,5020,3966
atovaquone,976,5030,3974
tramadol,978,5040,3982
amikacin,980,5050,3990
cefepime,982,5060,3998
ceftazidime,984,5070,4006
gentamicin,986,5080,4014
linezolid,988,5090,4022
erythromycin,990,5100,4030
tobramycin,992,5110,4038
polymyxin b / trimethoprim,994,5120,4046
dexamethasone / tobramycin,996,5130,4054
bacitracin,998,5140,4062
dexamethasone / neomycin / polymyxin b,1000,5150,4070
cefadroxil,1002,5160,4078
cefazolin,1004,5170,4086
bacitracin / neomycin / polymyxin b,1006,5180,4094
benzalkonium chloride / lidocaine,1008,5190,4102
bacitracin / polymyxin b,1010,5200,4110
hydrocortisone / neomycin / polymyxin b,1012,5210,4118
bacitracin / hydrocortisone / neomycin / polymyxin b,1014,5220,4126
fluocinolone / neomycin,1016,5230,4134
bacitracin / neomycin / polymyxin b / pramoxine,1018,5240,4142
neomycin / polymyxin b / pramoxine,1020,5250,4150
acetic acid,1022,5260,4158
secnidazole,1024,5270,4166
meclizine,1026,5280,4174
sincalide,1028,5290,4182
magnesium sulfate,1030,5300,4190
nebivolol,1032,5310,4198
nadolol,1034,5320,4206
labetalol,1036,5330,4214
rifampin,1038,5340,4222
imiquimod,1040,5350,4230
vismodegib,1042,5360,4238
sonidegib,1044,5370,4246
sumatriptan,1046,5380,4254
rizatriptan,1048,5390,4262
aspirin / butalbital / caffeine,1050,5400,4270
cyclobenzaprine,1052,5410,4278
naratriptan,1054,5420,4286
almotriptan,1056,5430,4294
zolmitriptan,1058,5440,4302
eletriptan,1060,5450,4310
collagenase,1062,5460,4318
becaplermin,1064,5470,4326
cadexomer iodine,1066,5480,4334
imipramine,1068,5490,4342
belladonna,1070,5500,4350
praziquantel,1072,5510,4358
apremilast,1074,5520,4366
simethicone,1076,5530,4374
aluminum hydroxide / magnesium hydroxide / simethicone,1078,5540,4382
modafinil,1080,5550,4390
armodafinil,1082,5560,4398
tamsulosin,1084,5570,4406
doxazosin,1086,5580,4414
terazosin,1088,5590,4422
alfuzosin,1090,5600,4430
tadalafil,1092,5610,4438
dutasteride,1094,5620,4446
silodosin,1096,5630,4454
dutasteride / tamsulosin,1098,5640,4462
flumazenil,1100,5650,4470
thiamine,1102,5660,4478
luspatercept,1104,5670,4486
cholic acid,1106,5680,4494
ursodiol,1108,5690,4502
obeticholic acid,1110,5700,4510
lamotrigine,1112,5710,4518
lithium,1114,5720,4526
divalproex sodium,1116,5730,4534
allopurinol,1118,5740,4542
magnesium oxide,1120,5750,4550
citric acid / potassium citrate,1122,5760,4558
atezolizumab,1124,5770,4566
thiotepa,1126,5780,4574
erdafitinib,1128,5790,4582
darifenacin,1130,5800,4590
onabotulinumtoxinA,1132,5810,4598
cefpodoxime,1134,5820,4606
fosfomycin,1136,5830,4614
phenazopyridine,1138,5840,4622
pentosan polysulfate sodium,1140,5850,4630
trospium,1142,5860,4638
dimethyl sulfoxide,1144,5870,4646
oxybutynin,1146,5880,4654
tolterodine,1148,5890,4662
mirabegron,1150,5900,4670
solifenacin,1152,5910,4678
fesoterodine,1154,5920,4686
fluconazole,1156,5930,4694
tranexamic acid,1158,5940,4702
goserelin,1160,5950,4710
"dextran, high molecular weight",1162,5960,4718
prednisolone / sulfacetamide sodium,1164,5970,4726
gentamicin / prednisolone,1166,5980,4734
incobotulinumtoxinA,1168,5990,4742
pseudoephedrine,1170,6000,4750
phenylephrine,1172,6010,4758
oxymetazoline,1174,6020,4766
loratadine / pseudoephedrine,1176,6030,4774
sodium chloride,1178,6040,4782
xylometazoline,1180,6050,4790
apixaban,1182,6060,4798
dabigatran,1184,6070,4806
fondaparinux,1186,6080,4814
edoxaban,1188,6090,4822
urokinase,1190,6100,4830
hetastarch,1192,6110,4838
nortriptyline,1194,6120,4846
capsaicin,1196,6130,4854
ioversol,1198,6140,4862
permethrin,1200,6150,4870
lindane,1202,6160,4878
piperonyl butoxide / pyrethrins,1204,6170,4886
spinosad,1206,6180,4894
dactinomycin,1208,6190,4902
dicloxacillin,1210,6200,4910
busulfan,1212,6210,4918
denosumab,1214,6220,4926
zoledronic acid,1216,6230,4934
pamidronate,1218,6240,4942
calcium / vitamin d,1220,6250,4950
calcium carbonate,1222,6260,4958
risedronate,1224,6270,4966
ibandronate,1226,6280,4974
raloxifene,1228,6290,4982
calcitonin,1230,6300,4990
teriparatide,1232,6310,4998
clozapine,1234,6320,5006
lurasidone,1236,6330,5014
l-methylfolate,1238,6340,5022
asenapine,1240,6350,5030
botulism immune globulin,1242,6360,5038
botulism antitoxin,1244,6370,5046
polyethylene glycol 3350,1246,6380,5054
bisacodyl,1248,6390,5062
polyethylene glycol 3350 with electrolytes,1250,6400,5070
magnesium sulfate / potassium sulfate / sodium sulfate,1252,6410,5078
citric acid / magnesium oxide / sodium picosulfate,1254,6420,5086
neomycin,1256,6430,5094
carmustine,1258,6440,5102
tamoxifen,1260,6450,5110
anastrozole,1262,6460,5118
letrozole,1264,6470,5126
exemestane,1266,6480,5134
paclitaxel,1268,6490,5142
trastuzumab,1270,6500,5150
epirubicin,1272,6510,5158
leuprolide,1274,6520,5166
neratinib,1276,6530,5174
palbociclib,1278,6540,5182
alpelisib,1280,6550,5190
fulvestrant,1282,6560,5198
docetaxel,1284,6570,5206
eribulin,1286,6580,5214
testosterone,1288,6590,5222
methyltestosterone,1290,6600,5230
fluoxymesterone,1292,6610,5238
esterified estrogens,1294,6620,5246
ethinyl estradiol,1296,6630,5254
metoclopramide,1298,6640,5262
guaifenesin,1300,6650,5270
ribavirin,1302,6660,5278
palivizumab,1304,6670,5286
aclidinium,1306,6680,5294
roflumilast,1308,6690,5302
umeclidinium / vilanterol,1310,6700,5310
olodaterol / tiotropium,1312,6710,5318
dyphylline,1314,6720,5326
fluticasone / umeclidinium / vilanterol,1316,6730,5334
olodaterol,1318,6740,5342
umeclidinium,1320,6750,5350
cimetidine,1322,6760,5358
formoterol,1324,6770,5366
streptomycin,1326,6780,5374
argatroban,1328,6790,5382
alteplase,1330,6800,5390
dapsone,1332,6810,5398
rituximab,1334,6820,5406
silver sulfadiazine,1336,6830,5414
vitamin a & d,1338,6840,5422
desvenlafaxine,1340,6850,5430
fidaxomicin,1342,6860,5438
penicillin v potassium,1344,6870,5446
daptomycin,1346,6880,5454
dalfopristin / quinupristin,1348,6890,5462
carboplatin,1350,6900,5470
etoposide,1352,6910,5478
chlorambucil,1354,6920,5486
ifosfamide,1356,6930,5494
vinblastine,1358,6940,5502
topotecan,1360,6950,5510
fludarabine,1362,6960,5518
pembrolizumab,1364,6970,5526
ibrutinib,1366,6980,5534
bendamustine,1368,6990,5542
idelalisib,1370,7000,5550
obinutuzumab,1372,7010,5558
alemtuzumab,1374,7020,5566
ofatumumab,1376,7030,5574
nilotinib,1378,7040,5582
anagrelide,1380,7050,5590
bosutinib,1382,7060,5598
omacetaxine,1384,7070,5606
peginterferon alfa-2b,1386,7080,5614
oxaliplatin,1388,7090,5622
irinotecan,1390,7100,5630
cetuximab,1392,7110,5638
panitumumab,1394,7120,5646
regorafenib,1396,7130,5654
romidepsin,1398,7140,5662
vorinostat,1400,7150,5670
bexarotene,1402,7160,5678
methoxsalen,1404,7170,5686
interferon gamma-1b,1406,7180,5694
niraparib,1408,7190,5702
ramucirumab,1410,7200,5710
cladribine,1412,7210,5718
pentostatin,1414,7220,5726
moxetumomab pasudotox,1416,7230,5734
bleomycin,1418,7240,5742
dacarbazine,1420,7250,5750
brentuximab,1422,7260,5758
doxorubicin liposomal,1424,7270,5766
alitretinoin,1426,7280,5774
erlotinib,1428,7290,5782
pemetrexed,1430,7300,5790
gefitinib,1432,7310,5798
crizotinib,1434,7320,5806
nelarabine,1436,7330,5814
bortezomib,1438,7340,5822
pralatrexate,1440,7350,5830
thalidomide,1442,7360,5838
carfilzomib,1444,7370,5846
pomalidomide,1446,7380,5854
daratumumab,1448,7390,5862
melphalan,1450,7400,5870
ipilimumab,1452,7410,5878
talimogene laherparepvec,1454,7420,5886
ibritumomab,1456,7430,5894
olaparib,1458,7440,5902
gemcitabine,1460,7450,5910
paclitaxel protein-bound,1462,7460,5918
pancreatin,1464,7470,5926
irinotecan liposomal,1466,7480,5934
streptozocin,1468,7490,5942
bicalutamide,1470,7500,5950
abiraterone,1472,7510,5958
enzalutamide,1474,7520,5966
degarelix,1476,7530,5974
flutamide,1478,7540,5982
triptorelin,1480,7550,5990
cemiplimab,1482,7560,5998
anidulafungin,1484,7570,6006
micafungin,1486,7580,6014
flucytosine,1488,7590,6022
nystatin,1490,7600,6030
nystatin / triamcinolone,1492,7610,6038
gentian violet,1494,7620,6046
terconazole,1496,7630,6054
tioconazole,1498,7640,6062
boric acid,1500,7650,6070
tazarotene,1502,7660,6078
abobotulinumtoxinA,1504,7670,6086
azficel-t,1506,7680,6094
uridine,1508,7690,6102
rilonacept,1510,7700,6110
canakinumab,1512,7710,6118
telotristat,1514,7720,6126
perflutren,1516,7730,6134
dexrazoxane,1518,7740,6142
simvastatin,1520,7750,6150
ramipril,1522,7760,6158
telmisartan,1524,7770,6166
empagliflozin,1526,7780,6174
liraglutide,1528,7790,6182
alirocumab,1530,7800,6190
evolocumab,1532,7810,6198
canagliflozin / metformin,1534,7820,6206
canagliflozin,1536,7830,6214
icosapent,1538,7840,6222
semaglutide,1540,7850,6230
levocarnitine,1542,7860,6238
siltuximab,1544,7870,6246
sodium oxybate,1546,7880,6254
milnacipran,1548,7890,6262
doxepin,1550,7900,6270
desmopressin,1552,7910,6278
iopromide,1554,7920,6286
mannitol,1556,7930,6294
trihexyphenidyl,1558,7940,6302
ticlopidine,1560,7950,6310
nimodipine,1562,7960,6318
carbamide peroxide,1564,7970,6326
rimabotulinumtoxinB,1566,7980,6334
bupivacaine,1568,7990,6342
ropivacaine,1570,8000,6350
cefotetan,1572,8010,6358
piperacillin,1574,8020,6366
esterified estrogens / methyltestosterone,1576,8030,6374
estradiol / progesterone,1578,8040,6382
tizanidine,1580,8050,6390
methocarbamol,1582,8060,6398
carisoprodol,1584,8070,6406
metaxalone,1586,8080,6414
chlorzoxazone,1588,8090,6422
orphenadrine,1590,8100,6430
aspirin / caffeine / orphenadrine,1592,8110,6438
aspirin / carisoprodol,1594,8120,6446
aspirin / carisoprodol / codeine,1596,8130,6454
amifostine,1598,8140,6462
hydralazine,1600,8150,6470
acyclovir,1602,8160,6478
valacyclovir,1604,8170,6486
varicella zoster immune globulin,1606,8180,6494
immune globulin intramuscular,1608,8190,6502
foscarnet,1610,8200,6510
"cholera vaccine, live",1612,8210,6518
atorvastatin,1614,8220,6526
pravastatin,1616,8230,6534
lovastatin,1618,8240,6542
ezetimibe,1620,8250,6550
gemfibrozil,1622,8260,6558
niacin,1624,8270,6566
ezetimibe / simvastatin,1626,8280,6574
fenofibric acid,1628,8290,6582
coagulation factor ix,1630,8300,6590
factor ix complex,1632,8310,6598
benzonatate,1634,8320,6606
codeine / guaifenesin,1636,8330,6614
dextromethorphan,1638,8340,6622
codeine / promethazine,1640,8350,6630
homatropine / hydrocodone,1642,8360,6638
dextromethorphan / guaifenesin,1644,8370,6646
chlorpheniramine / hydrocodone,1646,8380,6654
dextromethorphan / promethazine,1648,8390,6662
loperamide,1650,8400,6670
colesevelam,1652,8410,6678
bismuth subsalicylate,1654,8420,6686
atropine / difenoxin,1656,8430,6694
entecavir,1658,8440,6702
adefovir,1660,8450,6710
tenofovir alafenamide,1662,8460,6718
peginterferon alfa-2a,1664,8470,6726
ledipasvir / sofosbuvir,1666,8480,6734
sofosbuvir,1668,8490,6742
sofosbuvir / velpatasvir,1670,8500,6750
dasabuvir / ombitasvir / paritaprevir / ritonavir,1672,8510,6758
elbasvir / grazoprevir,1674,8520,6766
glecaprevir / pibrentasvir,1676,8530,6774
sofosbuvir / velpatasvir / voxilaprevir,1678,8540,6782
plecanatide,1680,8550,6790
prucalopride,1682,8560,6798
immune globulin intravenous and subcutaneous,1684,8570,6806
interferon beta-1b,1686,8580,6814
immune globulin subcutaneous,1688,8590,6822
levothyroxine,1690,8600,6830
albuterol / ipratropium,1692,8610,6838
tiotropium,1694,8620,6846
midodrine,1696,8630,6854
oxycodone,1698,8640,6862
acetaminophen / oxycodone,1700,8650,6870
morphine,1702,8660,6878
methadone,1704,8670,6886
buprenorphine,1706,8680,6894
pancrelipase,1708,8690,6902
dupilumab,1710,8700,6910
dantrolene,1712,8710,6918
mepolizumab,1714,8720,6926
cerliponase alfa,1716,8730,6934
bezlotoxumab,1718,8740,6942
fibrin sealant,1720,8750,6950
dihydroergotamine,1722,8760,6958
caffeine / ergotamine,1724,8770,6966
ganciclovir,1726,8780,6974
valganciclovir,1728,8790,6982
cytomegalovirus immune globulin,1730,8800,6990
letermovir,1732,8810,6998
cidofovir,1734,8820,7006
gadopentetate dimeglumine,1736,8830,7014
gadobutrol,1738,8840,7022
gadoteridol,1740,8850,7030
gadodiamide,1742,8860,7038
gadoterate meglumine,1744,8870,7046
cyclosporine,1746,8880,7054
acetaminophen / chlorpheniramine / phenylephrine,1748,8890,7062
pseudoephedrine / triprolidine,1750,8900,7070
famciclovir,1752,8910,7078
acyclovir / hydrocortisone,1754,8920,7086
penciclovir,1756,8930,7094
benzyl alcohol,1758,8940,7102
dicyclomine,1760,8950,7110
mesalamine,1762,8960,7118
balsalazide,1764,8970,7126
ammonium lactate,1766,8980,7134
salicylic acid,1768,8990,7142
silver nitrate,1770,9000,7150
cantharidin,1772,9010,7158
mupirocin,1774,9020,7166
meropenem,1776,9030,7174
barium sulfate,1778,9040,7182
