Drug_name,Lipophilicity_LogP,Binding_Affinity_kcal_per_mol
diphtheria toxoid / tetanus toxoid,4.97,-7.53
dipyridamole,1.67,-6.78
disopyramide,3.27,-4.94
disulfiram,4.59,-7.66
divalproex sodium,3.87,-8.54
dobutamine,-0.64,-5.58
docetaxel,0.88,-4.96
docosanol,-1.53,-8.95
docusate,4.66,-8.18
docusate / senna,2.05,-8.72
dofetilide,-0.79,-7.59
donepezil,2.54,-7.02
donepezil / memantine,2.14,-5.38
dopamine,0.19,-5.92
doripenem,-1.65,-6.08
dornase alfa,2.54,-7.56
dorzolamide,1.4,-4.87
dorzolamide / timolol,3.29,-6.91
doxapram,1.4,-4.11
doxazosin,3.89,-6.01
doxepin,1.64,-8.81
doxercalciferol,1.71,-5.78
doxorubicin,4.07,-7.71
doxorubicin liposomal,0.53,-5.73
doxycycline,-1.49,-9.12
doxylamine,-2.28,-8.54
doxylamine / pyridoxine,3.16,-4.79
dronabinol,2.15,-8.25
dronedarone,2.78,-4.9
droperidol,-0.9,-7.96
drospirenone / ethinyl estradiol,-1.48,-5.96
drospirenone / ethinyl estradiol / levomefolate calcium,-2.39,-5.68
droxidopa,0.13,-6.68
duloxetine,1.92,-7.82
dupilumab,0.44,-8.33
durvalumab,0.78,-9.32
dutasteride,4.28,-7.83
dutasteride / tamsulosin,0.11,-5.91
duvelisib,1.35,-4.34
dyclonine,3.38,-4.71
dyphylline,0.47,-5.29
"ebola zaire vaccine, live",2.17,-5.16
ecallantide,3.97,-5.84
echothiophate iodide,4.62,-8.07
econazole,-1.4,-4.51
eculizumab,4.45,-5.81
edaravone,1.19,-6.42
edetate calcium disodium,-0.56,-8.89
edoxaban,0.94,-7.04
efavirenz,4.85,-6.97
efavirenz / emtricitabine / tenofovir,1.19,-4.74
efinaconazole,-0.03,-6.49
eflornithine,2.25,-7.41
elapegademase,-0.7,-4.13
elbasvir / grazoprevir,-1.93,-8.89
electrolyte replacement solutions,-1.53,-7.18
eletriptan,-1.54,-9.27
eliglustat,-1.36,-5.43
elosulfase alfa,-1.46,-4.45
eltrombopag,2.31,-7.96
emapalumab,-1.14,-4.78
emicizumab,0.09,-7.89
emollients,4.23,-4.49
empagliflozin,1.05,-5.35
emtricitabine,2.51,-5.07
emtricitabine / tenofovir,-1.21,-9.4
emtricitabine / tenofovir alafenamide,-1.06,-4.2
enalapril,-2.19,-5.5
enasidenib,-1.23,-7.82
enfortumab vedotin,-0.41,-4.94
enoxaparin,-1.17,-7.95
entacapone,-1.83,-4.7
entecavir,-1.6,-8.88
entrectinib,0.96,-5.63
enzalutamide,-0.95,-6.53
ephedrine,0.23,-8.97
epinastine,1.28,-8.17
epinephrine,2.68,-9.43
epinephrine / lidocaine,-2.21,-6.92
epirubicin,3.5,-7.84
epoetin alfa,2.21,-6.21
epoetin beta-methoxy polyethylene glycol,-1.89,-7.87
epoprostenol,4.05,-7.85
eptifibatide,4.41,-5.41
erdafitinib,-2.04,-9.24
ergocalciferol,-0.42,-4.53
ergoloid mesylates,3.55,-4.81
eribulin,3.11,-5.83
erlotinib,-1.12,-6.24
ertapenem,-0.93,-4.59
erythromycin,0.28,-8.48
escitalopram,1.13,-9.07
esmolol,2.14,-8.18
esomeprazole,0.27,-5.13
esomeprazole / naproxen,0.97,-9.31
esterified estrogens,3.11,-6.29
esterified estrogens / methyltestosterone,-2.22,-4.03
estradiol,-0.61,-4.79
estradiol / levonorgestrel,2.85,-6.63
estradiol / norethindrone,4.21,-9.15
estradiol / progesterone,1.34,-4.93
estropipate,1.49,-6.21
eszopiclone,-1.7,-8.87
etanercept,0.86,-8.98
etelcalcetide,1.49,-4.5
eteplirsen,-0.68,-5.82
ethacrynic acid,-0.48,-4.94
ethambutol,0.33,-4.67
ethanolamine oleate,-2.35,-6.36
ethinyl estradiol,-0.08,-6.65
ethinyl estradiol / levonorgestrel,-0.91,-7.13
ethinyl estradiol / norethindrone,-0.04,-7.76
ethinyl estradiol / norgestimate,-1.6,-7.11
ethinyl estradiol / norgestrel,4.18,-5.24
etidronate,1.95,-6.19
etodolac,2.59,-4.59
etomidate,3.42,-7.06
etoposide,1.24,-6.16
everolimus,-1.85,-6.03
evolocumab,1.53,-6.25
exemestane,1.9,-5.64
ezetimibe,3.09,-8.19
ezetimibe / simvastatin,0.74,-6.68
factor XIII,-1.54,-8.93
factor ix complex,-0.37,-7.39
famciclovir,0.22,-6.82
famotidine,2.34,-5.91
famotidine / ibuprofen,1.78,-4.27
fat emulsion,0.17,-6.2
febuxostat,4.9,-5.41
fedratinib,2.04,-6.72
felbamate,-0.72,-6.01
felodipine,-1.74,-9.11
fenofibrate,-1.35,-8.1
fenofibric acid,-0.66,-7.51
fenoldopam,-1.29,-6.9
fentanyl,-1.1,-9.25
ferric citrate,-0.36,-8.73
ferrous fumarate,-1.2,-7.98
ferrous fumarate / folic acid,4.23,-4.16
ferrous gluconate,-1.9,-7.68
ferrous sulfate,1.43,-6.85
ferumoxytol,0.58,-8.42
fesoterodine,4.87,-6.14
fexofenadine,-1.66,-7.96
fibrin sealant,0.48,-8.36
fibrinogen,4.77,-6.66
fidaxomicin,3.99,-9.47
filgrastim,3.63,-9.46
finasteride,-0.57,-8.3
fingolimod,-1.22,-9.3
flavoxate,2.51,-8.91
flecainide,4.47,-7.64
flibanserin,1.68,-5.09
florbetaben f-18,1.79,-6.35
florbetapir F 18,-0.4,-6.68
floxuridine,3.27,-7.89
fluciclovine F 18,-1.1,-4.38
fluconazole,-0.07,-7.32
flucytosine,0.69,-9.02
fludarabine,1.31,-6.11
fludrocortisone,-0.68,-8.87
flumazenil,-1.64,-7.6
flunisolide,2.08,-6.71
fluocinolone,-0.34,-4.69
fluocinolone / hydroquinone / tretinoin,1.86,-6.79
fluocinolone / neomycin,-1.34,-5.64
fluocinonide,1.11,-4.04
fluoride,1.49,-8.78
fluorometholone,-2.11,-7.99
fluorouracil,0.02,-7.33
fluoxetine,-1.49,-7.18
fluoxymesterone,-2.02,-7.24
fluphenazine,4.92,-4.51
flurazepam,-0.08,-5.57
flurbiprofen,3.57,-6.16
flutamide,-0.59,-7.8
flutemetamol f-18,2.61,-4.97
fluticasone,3.2,-4.25
fluticasone / salmeterol,1.97,-4.98
fluticasone / umeclidinium / vilanterol,1.04,-9.49
fluticasone / vilanterol,0.59,-6.0
fluvastatin,0.12,-9.22
fluvoxamine,4.47,-8.08
folic acid,3.73,-9.17
follicle stimulating hormone,4.74,-6.18
fomepizole,-1.57,-5.72
fondaparinux,2.98,-8.87
formaldehyde,4.54,-7.39
formoterol,-1.14,-6.99
formoterol / mometasone,-2.0,-7.47
foscarnet,3.06,-8.83
fosfomycin,1.81,-7.2
fosinopril,3.81,-5.37
fosphenytoin,-1.45,-9.11
fulvestrant,3.46,-9.06
furosemide,-0.99,-7.55
gabapentin,-1.27,-4.32
gabapentin enacarbil,-1.27,-5.82
gadobenate dimeglumine,3.61,-5.77
gadobutrol,2.49,-7.51
gadodiamide,1.42,-6.23
gadopentetate dimeglumine,0.19,-9.44
gadoterate meglumine,4.08,-6.0
gadoteridol,0.44,-4.48
gadoxetate disodium,3.62,-6.13
galantamine,0.79,-4.69
gallium ga 68 dotatate,0.33,-5.52
gallium ga-68 dotatoc,0.97,-8.84
galsulfase,-0.24,-4.54
ganciclovir,3.11,-9.13
ganirelix,1.27,-6.56
gatifloxacin,-0.76,-8.72
gefitinib,4.25,-9.44
gemcitabine,0.38,-7.18
gemfibrozil,1.58,-7.88
gemifloxacin,4.3,-6.83
gemtuzumab,2.18,-6.33
gentamicin,-1.62,-9.26
gentamicin / prednisolone,4.55,-8.82
gentian violet,2.21,-6.43
gilteritinib,0.01,-7.61
